,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
33,100.0,100.0,215711,0,0,-2,2,0,3,2.2,2.7,4,Leon,2.7,28,False,,2024-10-04T14:00:05.587137Z,63,215711.jpg,2.2,Bailey,1.1,False,,a,2,7,18,116476,4145,364847,3900,0.4,2.9,Bailey,107.0,427,0,2,1,6,0,0,0,2,0,0,0,62,60.2,118.6,70.0,24.8,6,0.37,1.29,1.66,4.70,249,112,85,63,131,84,163,91,3.0,,4.0,,,,0.08,0.0,0.27,0.35,0.99,1.26,58,36,130,56,205,88,195,62,1.26,0.21
34,,,88894,0,0,-3,3,0,3,2.2,2.7,5,Ross,2.7,29,False,,,52,88894.jpg,1.9,Barkley,0.4,False,,a,2,7,15,15123,1511,62251,882,0.5,2.9,Barkley,241.0,271,1,1,1,3,0,0,0,3,0,0,0,57,88.8,65.8,94.0,24.8,1,0.75,0.20,0.95,1.84,199,82,156,103,94,61,162,90,,,,,,,0.25,0.0,0.07,0.32,0.61,1.0,169,103,120,51,237,103,279,91,0.33,0.33
35,0.0,0.0,491287,0,0,-1,1,0,3,0.0,0.0,0,Enzo,0.0,30,False,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,491287.jpg,0.0,Barrenechea,0.0,False,,u,2,7,0,872,0,4979,39,0.0,0.0,Barrenechea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,634,284,629,285,623,282,635,285,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,287,190,611,267,635,285,588,250,0.0,0.0
36,,,195546,0,0,-2,2,0,3,-0.2,0.3,0,Emiliano,0.3,31,False,,,53,195546.jpg,1.0,Buendía Stati,0.1,False,,a,2,7,4,4706,159,11478,338,0.1,0.8,Buendia,10.0,20,0,0,0,0,0,0,0,0,0,0,0,14,3.4,7.0,3.0,1.3,0,0.09,0.01,0.10,0.37,413,200,344,191,349,193,408,200,,,3.0,,,,0.4,0.0,0.04,0.44,1.66,0.0,156,92,349,174,398,199,450,166,0.0,0.0
37,100.0,100.0,199796,0,0,-1,1,0,2,2.5,3.0,1,Matty,3.0,32,False,,2024-08-24T21:30:05.205042Z,44,199796.jpg,2.4,Cash,1.3,False,,a,2,7,12,61732,3188,246378,2846,0.7,2.7,Cash,172.0,366,0,0,1,3,0,0,0,1,0,0,0,51,43.0,32.2,9.0,8.4,5,0.03,0.16,0.19,4.14,294,102,248,71,300,96,302,96,,,,,,,0.01,0.0,0.04,0.05,1.02,0.74,496,101,94,31,167,47,182,66,1.23,0.25
38,0.0,0.0,151589,0,0,0,0,0,3,0.0,0.0,0,Leander,0.0,33,False,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,151589.jpg,0.0,Dendoncker,0.3,False,,u,2,7,0,18187,0,80936,1101,0.0,0.0,Dendoncker,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,549,223,548,229,519,215,552,226,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,366,229,504,191,555,229,308,101,0.0,0.0
39,0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0.0,34,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,243557.jpg,0.0,Diaby,0.0,False,,u,2,7,0,0,0,3239,14,0.0,0.0,Diaby,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,667,304,667,304,667,304,667,304,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45,27,658,299,666,304,604,262,0.0,0.0
40,100.0,100.0,165659,0,0,0,0,0,2,2.2,2.7,0,Diego Carlos,2.7,35,False,,2024-09-25T21:30:06.256588Z,45,165659.jpg,2.8,Santos Silva,0.5,False,,a,2,7,11,27532,1456,49718,2347,0.6,2.4,Diego Carlos,30.0,348,0,0,1,4,0,0,0,0,0,0,0,44,58.8,4.7,0.0,6.4,3,0.00,0.04,0.04,3.85,254,92,356,118,521,203,328,108,,,,,,,0.0,0.0,0.01,0.01,1.0,1.03,370,60,111,36,138,41,261,96,0.78,0.26
41,,,101188,1,-1,2,-2,2,2,5.8,6.3,7,Lucas,6.3,36,False,,,47,101188.jpg,3.9,Digne,8.9,False,,a,2,7,35,1023069,74894,373916,17881,1.3,7.4,Digne,73.0,678,0,3,2,9,0,0,0,3,0,0,6,140,155.2,150.4,32.0,33.8,9,0.27,1.50,1.77,7.01,90,30,53,9,216,60,96,19,2.0,,2.0,,,,0.04,0.0,0.2,0.24,0.93,1.19,333,41,14,3,51,10,50,19,1.19,0.27
42,0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.0,37,False,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,50,461421.jpg,0.0,Dobbin,0.0,False,,u,2,7,0,0,0,256,5,0.0,0.0,Dobbin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,642,290,640,291,637,289,643,291,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,229,148,623,277,643,291,662,300,0.0,0.0
43,,,476344,-1,1,1,-1,0,4,0.5,1.0,1,Jhon,1.0,38,False,,,61,476344.jpg,3.2,Durán,5.0,False,,a,2,7,29,932554,10402,503405,75940,0.2,4.8,Duran,48.0,232,4,0,0,5,0,0,0,1,0,0,5,122,148.2,23.8,140.0,31.3,0,2.38,0.18,2.56,3.45,102,14,273,32,61,21,117,20,,,,,,,0.92,0.0,0.07,0.99,1.34,1.94,76,21,266,33,107,22,75,14,0.0,0.0
44,,,462492,0,0,0,0,0,1,-0.5,0.0,0,Joe,0.0,39,False,,,40,462492.jpg,0.0,Gauci,0.9,False,,a,2,7,0,55123,877,35057,1342,0.0,0.0,Gauci,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,478,52,465,34,421,26,481,52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,628,64,404,48,483,52,212,30,0.0,0.0
45,,,123354,0,0,0,0,0,2,-0.5,0.0,0,Kortney,0.0,40,False,,,40,123354.jpg,0.0,Hause,0.6,False,,a,2,7,0,31887,407,37116,1286,0.0,0.0,Hause,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,449,153,435,153,387,129,452,153,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,589,164,372,120,456,152,236,86,0.0,0.0
46,0.0,0.0,469247,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,41,False,Season long loan to Bologna,2024-08-29T11:07:04.555253Z,54,469247.jpg,0.0,Iling-Junior,0.0,False,,u,2,7,0,342,0,6468,44,0.0,0.0,Iling Jr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,658,299,657,299,654,297,658,299,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,140,83,643,289,657,299,584,248,0.0,0.0
47,100.0,100.0,226944,0,0,0,0,0,3,-0.2,0.3,1,Boubacar,0.3,42,False,,2024-07-17T13:30:04.954579Z,50,226944.jpg,1.0,Kamara,0.0,False,,a,2,7,1,857,204,548,106,0.1,0.2,Kamara,73.0,8,0,0,0,1,0,0,0,0,0,0,0,4,1.8,0.3,0.0,0.2,0,0.00,0.00,0.00,0.10,427,210,406,214,631,285,437,217,,,,,,,0.0,0.0,0.0,0.0,1.12,11.25,214,136,344,171,389,194,632,281,0.0,0.0
48,0.0,0.0,465390,0,0,0,0,0,2,0.0,0.0,0,Kaine,0.0,43,False,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,40,465390.jpg,0.0,Kesler-Hayden,0.0,False,,u,2,7,0,0,0,1397,30,0.0,0.0,Kesler-Hayden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,482,168,469,168,425,148,485,168,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,632,188,408,138,487,165,625,208,0.0,0.0
49,100.0,100.0,199798,0,0,0,0,1,2,0.5,1.0,2,Ezri,1.0,44,False,,2024-10-06T22:00:07.014898Z,45,199798.jpg,2.4,Konsa Ngoyo,11.5,False,,a,2,7,19,793283,7647,852363,37051,0.2,4.2,Konsa,241.0,641,1,0,0,10,0,0,0,0,0,0,1,98,137.2,51.3,53.0,24.2,8,0.35,0.18,0.53,6.83,124,48,195,49,163,32,170,47,,,,,,,0.05,0.0,0.03,0.08,0.96,1.4,373,63,242,76,169,48,37,13,1.12,0.0
50,,,441302,0,0,-2,2,0,2,0.2,0.7,1,Ian,0.7,45,False,,,48,441302.jpg,1.0,Maatsen,1.8,False,,a,2,7,8,62959,1230,252331,6278,0.1,1.7,Maatsen,152.0,137,0,0,0,2,0,0,0,0,0,0,0,22,32.2,83.3,16.0,13.1,0,0.01,0.68,0.69,2.01,315,111,126,25,267,79,261,87,,,,,,,0.01,0.0,0.45,0.46,1.32,1.31,319,38,289,92,374,129,148,56,0.0,0.0
51,0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,46,False,Has joined MK Dons for the rest of the season,2024-07-18T09:50:40.812599Z,40,462381.jpg,0.0,Marschall,0.0,False,,u,2,7,0,0,0,56,0,0.0,0.0,Marschall,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,477,51,464,33,420,25,480,51,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,627,63,403,47,482,51,667,71,0.0,0.0
52,,,98980,0,0,0,0,0,1,5.8,6.3,2,Emiliano,6.3,47,False,,,50,98980.jpg,3.3,Martínez Romero,13.8,False,,a,2,7,30,727340,26346,673386,27325,1.3,6.0,Martinez,10.0,810,0,0,1,11,0,1,0,1,0,22,2,115,208.4,0.0,0.0,20.9,9,0.00,0.00,0.00,8.98,44,12,632,68,627,66,196,12,,,,,,,0.0,2.44,0.0,0.0,1.0,1.22,193,7,15,3,93,14,24,3,1.0,0.11
53,100.0,100.0,122806,0,0,-3,3,0,3,0.5,1.0,2,John,1.0,48,False,,2024-09-21T20:30:05.276348Z,52,122806.jpg,1.7,McGinn,0.8,False,,a,2,7,12,50051,2795,194623,1422,0.2,2.3,McGinn,243.0,426,0,0,2,5,0,0,0,2,0,0,0,53,16.8,64.5,40.0,12.2,6,0.51,0.62,1.13,3.80,353,167,160,106,196,112,269,133,,,,,,,0.11,0.0,0.13,0.24,0.8,1.06,172,106,258,126,265,123,218,70,1.27,0.42
