,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
100,75.0,100.0,191866,0,0,0,0,0,2,0.0,0.0,0,Kristoffer,0.0,86,False,Foot injury - 75% chance of playing,2024-10-26T20:00:07.058865Z,45,191866.jpg,0.9,Ajer,0.3,False,,d,4,94,7,30342,162,37355,2673,0.0,1.6,Ajer,161.0,637,0,0,0,12,0,0,0,3,0,0,0,23,71.8,40.6,47.0,15.9,8,0.28,0.10,0.38,11.94,229,85,222,59,175,38,233,76,,,,,,,0.04,0.0,0.01,0.05,1.69,1.7,372,62,506,203,412,132,294,109,1.13,0.0
101,100.0,100.0,494041,0,0,0,0,0,3,0.0,0.0,0,Ethan,0.0,87,False,,2024-09-10T11:15:13.439596Z,45,494041.jpg,0.0,Brierley,0.1,False,,a,4,94,0,8300,196,8426,292,0.0,0.0,Brierley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,582,246,582,252,557,238,585,249,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,427,256,539,215,588,252,453,167,0.0,0.0
102,,,432830,0,0,0,0,1,2,4.0,4.0,1,Nathan,4.0,88,False,,,45,432830.jpg,3.0,Collins,2.4,False,,a,4,94,27,309242,6367,125414,11642,0.9,6.0,Collins,104.0,810,1,3,0,18,0,0,0,1,0,0,1,105,283.0,34.0,156.0,47.3,9,1.73,0.34,2.07,15.75,10,1,240,69,51,4,45,6,,,,,,,0.19,0.0,0.04,0.23,1.75,2.0,393,77,47,12,119,34,125,45,1.0,0.0
103,100.0,100.0,440089,0,0,0,0,0,3,5.7,5.7,2,Mikkel,5.7,89,False,,2024-10-12T11:00:07.165630Z,50,440089.jpg,3.2,Damsgaard,0.5,False,,a,4,94,29,57264,11259,13260,3809,1.1,5.8,Damsgaard,58.0,628,0,3,1,12,0,0,0,0,0,0,3,150,180.6,255.3,93.0,53.0,7,0.73,1.76,2.49,11.98,65,21,17,14,97,63,37,27,1.0,,3.0,,,,0.1,0.0,0.25,0.35,1.72,1.72,224,144,22,10,104,41,255,81,1.0,0.14
104,0.0,0.0,183656,0,0,-2,2,0,3,0.0,0.0,0,Josh,0.0,90,False,Knee injury - Unknown return date,2024-08-12T14:30:04.460316Z,48,183656.jpg,0.0,Dasilva,0.0,False,,i,4,94,0,197,4,887,16,0.0,0.0,Dasilva,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,619,276,617,279,601,270,620,277,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,304,204,587,253,623,279,650,290,0.0,0.0
105,,,118342,0,0,0,0,0,1,2.3,2.3,1,Mark,2.3,91,False,,,45,118342.jpg,2.7,Flekken,12.5,False,,a,4,94,24,849031,9823,609564,23336,0.5,5.3,Flekken,152.0,810,0,0,0,18,0,0,0,0,0,44,0,128,365.4,0.1,0.0,36.4,9,0.00,0.02,0.02,15.75,5,1,412,7,518,57,85,1,,,,,,,0.0,4.89,0.0,0.0,1.75,2.0,365,15,137,15,147,22,32,5,1.0,0.0
106,50.0,0.0,194010,0,0,-2,2,0,2,0.0,0.0,0,Rico,0.0,92,False,Lack of match fitness - 50% chance of playing,2024-08-12T14:30:04.471299Z,43,194010.jpg,0.0,Henry,0.0,False,,d,4,94,0,852,34,5669,89,0.0,0.0,Henry,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,517,196,505,195,468,181,520,196,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,553,138,456,177,523,194,551,192,0.0,0.0
107,0.0,0.0,472713,0,0,-1,1,0,2,0.0,0.0,0,Aaron,0.0,93,False,Hamstring injury - Unknown return date,2024-08-12T14:30:04.480785Z,44,472713.jpg,0.0,Hickey,0.0,False,,i,4,94,0,292,12,2403,37,0.0,0.0,Hickey,243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,539,208,537,208,506,199,542,208,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,527,121,493,199,545,206,611,205,0.0,0.0
108,,,204580,0,0,-1,1,0,3,3.7,3.7,5,Vitaly,3.7,94,False,,,49,204580.jpg,2.7,Janelt,0.2,False,,a,4,94,24,22362,1925,19687,699,0.8,4.9,Janelt,80.0,724,0,2,1,17,0,0,0,1,0,0,0,152,120.6,114.0,33.0,26.9,9,0.17,0.72,0.89,13.14,149,53,94,71,214,119,149,83,,,,,,,0.02,0.0,0.09,0.11,1.63,2.11,267,176,60,22,148,61,353,126,1.12,0.12
109,100.0,100.0,207283,0,0,-2,2,0,3,0.3,0.3,1,Mathias,0.3,95,False,,2024-09-10T00:30:06.483560Z,53,207283.jpg,2.5,Jensen,0.1,False,,a,4,94,10,4215,232,16409,121,0.1,1.9,Jensen,58.0,250,0,1,0,4,0,0,0,1,0,0,1,44,40.6,100.6,5.0,14.7,3,0.10,0.50,0.60,4.33,298,139,113,83,334,186,245,120,3.0,,,,,,0.04,0.0,0.18,0.22,1.56,1.44,160,94,351,175,165,73,487,183,1.08,0.0
