,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
178,0.0,0.0,532605,0,0,0,0,0,3,0.0,0.0,0,Andrey,0.0,150,False,Has joined Strasbourg on a season-long loan,2024-08-05T10:16:34.176364Z,45,532605.jpg,0.0,Nascimento dos Santos,0.0,False,,u,6,8,0,0,0,555,3,0.0,0.0,Andrey Santos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,596,259,596,265,572,252,599,262,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,449,276,557,231,602,265,654,294,0.0,0.0
179,0.0,0.0,518620,0,0,0,0,0,3,0.0,0.0,0,Ângelo Gabriel,0.0,151,False,Transferred to Al-Nassr,2024-09-05T10:38:18.297070Z,45,518620.jpg,0.0,Borges Damaceno,0.2,False,,u,6,8,0,5940,0,24794,408,0.0,0.0,Ângelo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,589,253,589,259,565,246,592,256,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,441,270,549,225,595,259,389,139,0.0,0.0
180,,,242880,0,0,-2,2,0,2,0.8,0.8,0,Benoît,0.3,153,False,,,43,242880.jpg,1.0,Badiashile,0.1,False,,a,6,8,1,5392,192,11003,281,0.1,0.2,B.Badiashile,73.0,37,0,0,0,0,0,0,0,0,0,0,0,11,8.2,0.9,0.0,0.9,0,0.00,0.00,0.00,0.09,388,137,389,135,472,185,419,142,,,,,,,0.0,0.0,0.0,0.0,0.22,0.0,560,145,320,103,344,119,428,157,0.0,0.0
181,,,482158,0,0,0,0,0,1,0.5,0.5,0,Lucas,0.0,154,False,,,40,482158.jpg,0.0,Bergström,0.3,False,,a,6,8,0,11917,181,11659,366,0.0,0.0,Bergström,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,484,56,471,38,427,30,487,56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,635,68,410,52,489,56,321,46,0.0,0.0
182,,,122074,0,0,0,0,0,1,0.5,0.5,0,Marcus,0.0,155,False,,,40,122074.jpg,0.0,Bettinelli,0.4,False,,a,6,8,0,8137,139,11482,380,0.0,0.0,Bettinelli,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,448,36,434,17,386,9,451,36,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,588,47,371,32,455,36,291,43,0.0,0.0
183,,,486672,0,0,-1,1,0,3,3.2,3.2,2,Moisés,2.7,157,False,,,49,486672.jpg,2.7,Caicedo Corozo,1.0,False,,a,6,8,24,104903,5631,79142,4614,0.6,4.9,Caicedo,62.0,795,0,2,2,11,0,0,0,2,0,0,0,155,183.0,147.4,19.0,35.0,9,0.23,1.14,1.37,11.46,62,18,56,46,251,143,92,58,,,,,,,0.03,0.0,0.13,0.16,1.3,1.25,283,188,114,47,150,62,198,63,1.02,0.23
184,,,505187,0,0,0,0,0,3,0.5,0.5,0,Cesare,0.0,158,False,,,45,505187.jpg,0.0,Casadei,0.1,False,,a,6,8,0,12492,320,15246,514,0.0,0.0,Casadei,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,587,251,587,257,562,243,590,254,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,437,266,546,222,593,257,421,152,0.0,0.0
185,,,172850,0,0,-3,3,0,2,0.5,0.5,0,Ben,0.0,160,False,,,47,172850.jpg,0.0,Chilwell,0.5,False,,a,6,8,0,20922,647,68596,1430,0.0,0.0,Chilwell,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,616,218,614,218,593,212,617,218,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,336,43,579,210,620,216,250,91,0.0,0.0
186,100.0,100.0,478912,0,0,-2,2,0,3,0.5,0.5,0,Carney,0.0,161,False,,2024-10-04T12:30:06.437566Z,48,478912.jpg,0.0,Chukwuemeka,0.0,False,,a,6,8,0,3443,107,6096,116,0.0,0.0,Chukwuemeka,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,278,621,281,606,272,624,279,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,326,216,595,257,627,281,513,199,0.0,0.0
187,,,460028,0,0,1,-1,0,2,1.8,1.8,2,Levi,1.3,162,False,,,46,460028.jpg,2.3,Colwill,3.1,False,,a,6,8,21,447241,4729,218103,11225,0.3,4.6,Colwill,241.0,810,0,0,2,11,0,0,0,2,0,0,1,108,167.4,38.7,34.0,24.1,9,0.18,0.51,0.69,11.32,73,22,229,63,210,56,172,48,,,,,,,0.02,0.0,0.06,0.08,1.26,1.22,352,51,212,64,182,54,106,41,1.0,0.22
