,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
218,,,205533,0,0,-1,1,0,4,1.3,0.8,1,Eddie,1.3,11,False,,,59,205533.jpg,1.7,Nketiah,0.8,False,,a,7,31,10,152116,1425,122456,8089,0.2,1.7,Nketiah,241.0,405,0,0,1,6,0,0,0,1,0,0,0,49,34.4,61.9,138.0,23.2,5,0.90,0.33,1.23,6.52,313,32,170,20,62,22,181,25,,,,,,,0.2,0.0,0.07,0.27,1.45,1.33,84,24,229,30,267,31,221,39,1.11,0.22
219,100.0,100.0,180736,0,0,-1,1,1,2,4.0,3.5,8,Trevoh,4.0,159,False,,2024-09-13T15:30:06.602568Z,44,180736.jpg,4.0,Chalobah,0.2,False,,a,7,31,12,15377,3580,18644,319,0.9,2.7,Chalobah,241.0,267,0,0,1,2,0,0,0,0,0,0,2,49,58.8,16.6,42.0,11.8,3,0.30,0.06,0.36,3.65,253,91,295,91,186,46,275,89,,,,,,,0.1,0.0,0.02,0.12,1.23,0.67,494,100,44,9,46,7,369,130,1.01,0.34
220,0.0,0.0,466117,0,0,0,0,0,3,0.0,0.0,0,Naouirou,0.0,190,False,Loaned to Rennes,2024-08-31T06:25:25.419519Z,45,466117.jpg,0.0,Ahamada,0.1,False,,u,7,31,0,6178,0,29686,393,0.0,0.0,Ahamada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,571,238,570,244,542,230,574,241,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,409,246,527,206,577,244,414,149,0.0,0.0
221,50.0,25.0,438464,0,0,-1,1,0,3,0.0,-0.1,0,Cheick,0.0,193,False,Toe Injury - 50% chance of playing,2024-09-14T18:00:06.266238Z,49,438464.jpg,2.0,Doucouré,0.1,False,,d,7,31,6,10646,6,15940,266,0.0,1.2,C.Doucouré,132.0,91,0,1,0,1,0,0,0,0,0,0,0,20,17.6,5.9,6.0,2.9,1,0.04,0.01,0.05,1.31,349,164,351,194,329,181,369,181,,,,,,,0.04,0.0,0.01,0.05,1.3,0.99,277,183,607,264,224,95,495,189,0.99,0.0
222,0.0,0.0,427623,0,0,-1,1,0,2,0.0,0.0,0,Chris,0.0,194,False,Hamstring injury - Unknown return date,2024-09-27T15:30:06.509919Z,44,427623.jpg,2.2,Richards,0.1,False,,i,7,31,9,5404,20,15645,370,0.0,2.0,C.Richards,229.0,343,0,0,1,5,0,0,0,1,0,0,0,35,56.8,3.6,6.0,6.7,4,0.12,0.01,0.13,6.69,261,96,361,120,323,106,322,105,,,,,,,0.03,0.0,0.0,0.03,1.76,1.31,520,118,488,198,193,61,434,159,1.05,0.26
223,0.0,0.0,515621,0,0,-2,2,0,2,0.0,0.0,0,Chadi,0.0,195,False,Knee injury - Expected back 23 Nov,2024-08-28T16:30:04.488064Z,43,515621.jpg,1.0,Riad Dnanou,0.1,False,,i,7,31,1,1522,4,12088,127,0.0,0.2,Chadi Riad,145.0,90,0,0,0,2,0,0,0,0,0,0,0,3,18.2,1.3,0.0,2.0,1,0.00,0.02,0.02,1.39,345,124,384,132,476,187,386,127,,,,,,,0.0,0.0,0.02,0.02,1.39,2.0,567,150,465,184,346,121,505,183,1.0,0.0
224,,,57328,0,0,-1,1,0,2,2.0,1.5,0,Nathaniel,2.0,196,False,,,44,57328.jpg,3.0,Clyne,0.1,False,,a,7,31,9,5087,74,8386,264,0.5,2.0,Clyne,241.0,226,0,0,1,3,0,0,0,0,0,0,0,37,31.4,2.9,3.0,3.7,2,0.01,0.02,0.03,4.64,318,113,368,125,347,113,359,118,,,,,,,0.0,0.0,0.01,0.01,1.85,1.19,476,89,160,47,115,32,432,158,0.8,0.4
225,0.0,0.0,450535,0,0,0,0,0,3,0.0,0.0,0,Malcolm,0.0,197,False,Season long loan to Oxford United,2024-08-06T17:23:26.723638Z,45,450535.jpg,0.0,Ebiowei,0.0,False,,u,7,31,0,0,0,420,5,0.0,0.0,Ebiowei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,562,231,561,237,533,223,565,234,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,398,238,518,199,568,237,657,297,0.0,0.0
226,,,232413,0,0,-3,3,1,3,3.3,2.8,6,Eberechi,3.3,199,False,,,67,232413.jpg,3.4,Eze,13.3,False,,a,7,31,31,926063,37312,2821697,34896,0.5,4.6,Eze,241.0,810,1,1,2,11,0,0,0,0,0,0,3,144,158.2,252.9,266.0,67.6,9,2.92,1.38,4.30,12.81,84,28,18,15,16,8,16,11,1.0,,1.0,,2.0,,0.32,0.0,0.15,0.47,1.42,1.22,37,20,86,33,90,36,26,8,1.0,0.22
227,,,209036,0,0,-1,1,1,2,3.3,2.8,6,Marc,3.3,200,False,,,44,209036.jpg,3.2,Guéhi,6.5,False,,a,7,31,29,291251,24715,341088,8916,0.7,6.6,Guéhi,241.0,810,1,0,2,11,0,0,0,1,0,0,2,133,267.4,39.8,56.0,36.4,9,0.25,0.22,0.47,12.81,13,3,228,62,157,28,84,15,,,,,,,0.03,0.0,0.02,0.05,1.42,1.22,498,102,74,23,98,26,63,23,1.0,0.22
