,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
251,0.0,0.0,440323,0,0,-1,1,0,4,0.0,0.0,0,Armando,0.0,156,False,Foot injury - Expected back 23 Nov,2024-09-08T23:00:06.640099Z,54,440323.jpg,0.0,Broja,0.1,False,,i,8,11,0,6278,19,12097,143,0.0,0.0,Broja,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,657,67,656,67,653,67,657,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,138,39,642,65,656,67,504,64,0.0,0.0
252,,,121599,0,0,-3,3,0,3,3.2,2.7,2,Abdoulaye,2.7,217,False,,,52,121599.jpg,2.0,Doucouré,0.2,False,,a,8,11,16,12961,1036,39869,835,0.5,3.1,A.Doucoure,132.0,564,0,0,2,10,0,0,0,0,0,0,0,65,66.4,91.6,38.0,19.5,7,0.29,0.16,0.45,10.48,241,106,118,88,198,114,210,106,,,,,,,0.05,0.0,0.03,0.08,1.67,1.6,171,105,121,52,227,97,337,119,1.12,0.32
253,,,486385,0,0,0,0,0,4,2.8,2.3,7,Norberto Bercique,2.3,218,False,,,50,486385.jpg,2.2,Gomes Betuncal,0.7,False,,a,8,11,11,92572,4238,83268,2716,0.5,2.2,Beto,90.0,52,1,0,0,4,0,0,0,0,0,0,2,36,36.2,0.3,57.0,9.4,0,0.39,0.00,0.39,1.86,308,31,407,44,153,31,296,33,,,,,,,0.68,0.0,0.0,0.68,3.22,6.92,232,50,145,24,201,29,230,40,0.0,0.0
254,100.0,100.0,480455,0,0,-2,2,0,2,0.8,0.3,1,Jarrad,0.3,219,False,,2024-10-04T00:00:05.702491Z,48,480455.jpg,1.5,Branthwaite,0.8,False,,a,8,11,3,15352,3853,170188,1163,0.1,0.6,Branthwaite,241.0,94,0,0,0,1,0,0,0,0,0,0,0,21,22.4,0.8,0.0,2.3,1,0.00,0.00,0.00,0.96,333,118,391,136,607,216,380,125,,,,,,,0.0,0.0,0.0,0.0,0.92,0.96,327,40,338,111,284,93,225,82,0.96,0.0
255,100.0,100.0,177815,0,0,0,0,1,4,2.5,2.0,2,Dominic,2.0,220,False,,2024-09-18T19:30:06.748871Z,60,177815.jpg,3.4,Calvert-Lewin,5.3,False,,a,8,11,31,870112,9246,527647,48970,0.3,5.2,Calvert-Lewin,241.0,763,2,1,2,12,0,0,0,1,0,0,3,77,125.0,46.6,280.0,45.0,9,3.36,0.46,3.82,12.81,143,17,208,24,15,8,50,10,,,,,1.0,,0.4,0.0,0.05,0.45,1.51,1.42,78,22,184,27,89,19,73,13,1.06,0.24
256,100.0,100.0,59949,0,0,-2,2,0,2,0.5,0.0,0,Séamus,0.0,221,False,,2024-09-11T12:30:06.934350Z,43,59949.jpg,1.0,Coleman,0.0,False,,a,8,11,1,2173,194,4407,124,0.0,0.2,Coleman,104.0,90,0,0,0,3,0,0,0,0,0,0,0,-1,16.6,1.1,21.0,3.9,1,0.62,0.01,0.63,2.22,354,126,385,133,241,66,358,117,,,,,,,0.62,0.0,0.01,0.63,2.22,3.0,538,126,444,167,342,117,552,193,1.0,0.0
257,100.0,100.0,80801,0,0,-1,1,0,3,2.5,2.0,2,Idrissa,2.0,222,False,,2024-09-19T14:30:05.586621Z,49,80801.jpg,1.9,Gueye,0.1,False,,a,8,11,15,4443,292,6941,166,0.4,3.1,Gana,189.0,553,0,0,1,13,0,0,0,0,0,0,0,76,66.4,17.4,36.0,12.0,6,0.67,0.15,0.82,10.51,239,104,291,170,206,117,272,135,,,,,,,0.11,0.0,0.02,0.13,1.71,2.12,249,162,168,73,236,102,502,194,0.98,0.16
258,0.0,0.0,232928,0,0,0,0,0,3,0.0,0.0,0,James,1.0,223,False,Back injury - Unknown return date,2024-10-17T14:00:07.870350Z,50,232928.jpg,1.8,Garner,0.0,False,,i,8,11,7,991,11,2366,108,0.2,1.4,Garner,241.0,251,0,0,1,4,0,0,0,1,0,0,0,36,54.0,20.9,5.0,7.9,2,0.05,0.05,0.10,4.49,272,123,278,164,332,184,308,154,,,2.0,,,,0.02,0.0,0.02,0.04,1.61,1.43,217,139,255,123,254,114,605,263,0.72,0.36
259,100.0,100.0,221399,0,0,-2,2,0,3,3.2,2.7,2,Jack,2.7,224,False,,2024-09-19T14:30:05.601507Z,53,221399.jpg,2.2,Harrison,0.1,False,,a,8,11,20,9150,1092,14716,485,0.5,3.8,Harrison,241.0,591,0,1,2,11,0,0,0,0,0,0,0,77,70.6,124.5,90.0,28.3,7,0.85,0.84,1.69,11.53,231,101,78,59,100,66,140,79,,,,,,,0.13,0.0,0.13,0.26,1.76,1.68,161,95,123,53,202,86,411,148,1.07,0.3
260,0.0,0.0,194164,0,0,0,0,0,2,0.0,0.0,0,Mason,0.0,225,False,Loaned to West Bromwich Albion,2024-08-31T08:24:25.909228Z,40,194164.jpg,1.0,Holgate,0.2,False,,u,8,11,1,11786,0,41702,674,0.0,0.2,Holgate,,5,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.07,455,155,441,155,394,132,458,155,,,,,,,0.0,0.0,0.0,0.0,1.26,18.0,598,169,379,123,333,109,334,117,0.0,0.0
261,0.0,0.0,490094,0,0,0,0,0,3,0.0,0.0,0,Tim,0.3,226,False,Foot injury - Unknown return date,2024-10-17T14:00:07.887629Z,45,490094.jpg,1.3,Iroegbunam,0.8,False,,i,8,11,8,187428,52,139591,7779,0.1,1.8,Iroegbunam,241.0,381,0,0,0,13,0,0,0,2,0,0,0,29,47.0,27.1,29.0,10.4,4,0.21,0.08,0.29,8.36,283,131,266,158,224,126,292,146,,,,,,,0.05,0.0,0.02,0.07,1.97,3.07,419,250,327,158,304,148,219,71,0.94,0.0
262,,,222627,0,0,0,0,0,1,0.5,0.0,0,João,0.0,227,False,,,40,222627.jpg,0.0,Neves Virgínia,0.4,False,,a,8,11,0,12136,221,30754,553,0.0,0.0,J.Virginia,173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,465,44,451,25,405,17,468,44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,611,55,390,40,470,44,268,41,0.0,0.0
263,100.0,100.0,106611,0,0,2,-2,1,2,7.8,7.3,2,Michael,7.3,228,False,,2024-09-19T14:30:05.611115Z,42,106611.jpg,3.9,Keane,10.0,False,,a,8,11,31,1068117,96015,270679,10235,1.7,7.4,Keane,241.0,720,2,0,2,15,0,0,0,3,0,0,3,87,208.0,22.3,65.0,29.7,8,0.33,0.02,0.35,13.42,46,14,275,82,136,23,126,30,,,,,,,0.04,0.0,0.0,0.04,1.68,1.88,570,153,7,1,49,8,46,17,1.0,0.25
264,0.0,0.0,115382,0,0,-1,1,0,4,0.0,0.0,0,Neal,0.0,229,False,Transferred to Marseille,2024-08-31T06:13:30.372925Z,49,115382.jpg,0.0,Maupay,0.4,False,,u,8,11,0,20402,0,152293,1355,0.0,0.0,Maupay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,627,58,623,57,612,58,628,58,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,254,55,599,56,629,59,285,46,0.0,0.0
265,75.0,,433154,0,0,3,-3,2,3,2.8,3.3,2,Dwight,3.3,230,False,Knock - 75% chance of playing,2024-10-26T20:30:07.145953Z,58,433154.jpg,5.4,McNeil,12.8,False,,d,8,11,49,1563306,56862,330797,85273,0.6,8.4,McNeil,241.0,797,3,3,2,16,0,0,0,1,0,0,6,218,244.2,407.6,146.0,79.8,9,0.64,3.37,4.00,14.32,21,7,1,1,56,32,7,6,1.0,,,,,,0.07,0.0,0.38,0.45,1.62,1.81,92,58,85,32,15,8,30,10,1.02,0.23
