,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
280,,,200641,0,0,0,0,0,3,2.0,2.0,1,Reiss,2.0,10,False,,,50,200641.jpg,2.1,Nelson,0.1,False,,a,9,54,15,11940,321,8557,591,0.4,3.0,Nelson,241.0,120,1,1,0,4,0,0,0,1,0,0,1,62,76.2,73.1,64.0,21.3,0,0.41,0.39,0.80,1.66,221,95,140,96,139,88,193,101,,,,,,,0.31,0.0,0.29,0.6,1.24,3.0,201,126,174,78,207,89,447,163,0.0,0.0
281,,,209289,0,0,2,-2,0,3,2.7,2.7,6,Emile,2.7,19,False,,,57,209289.jpg,4.6,Smith Rowe,26.3,False,,a,9,54,41,2679755,99403,1601788,47521,0.5,7.2,Smith Rowe,241.0,626,2,2,4,7,0,0,0,1,0,0,5,152,150.6,121.7,103.0,37.6,8,1.82,0.81,2.63,6.83,98,32,81,60,87,56,75,47,,,,,,,0.26,0.0,0.12,0.38,0.98,1.01,96,59,129,55,27,12,11,5,1.15,0.58
282,100.0,0.0,174874,0,0,-2,2,0,2,-0.3,0.0,0,Joachim,-0.3,191,False,,2024-10-19T16:30:06.593477Z,43,174874.jpg,1.8,Andersen,7.2,False,,a,9,54,11,134359,3210,1188484,18270,-0.1,2.6,Andersen,58.0,513,0,0,1,10,0,0,0,1,1,0,2,57,134.8,19.8,33.0,18.8,6,0.17,0.08,0.25,7.55,127,50,284,86,212,58,214,64,,,,,,,0.03,0.0,0.01,0.04,1.32,1.75,549,134,666,218,246,80,55,20,1.05,0.18
283,,,159533,0,0,1,-1,0,3,2.3,2.3,3,Adama,2.3,239,False,,,51,159533.jpg,3.7,Traoré,3.7,False,,a,9,54,33,630368,15701,323930,18120,0.5,6.5,Adama,200.0,690,1,2,3,9,0,0,0,2,0,0,3,136,144.2,208.7,196.0,54.9,9,2.58,1.84,4.42,8.41,111,37,26,22,34,20,32,22,,,,,,,0.34,0.0,0.24,0.58,1.1,1.17,182,115,146,62,64,28,95,28,1.17,0.39
284,75.0,,156689,0,0,-2,2,0,3,2.8,3.7,3,Andreas,3.7,240,False,Knock - 75% chance of playing,2024-10-27T22:00:06.156705Z,53,156689.jpg,2.9,Hoelgebaum Pereira,1.7,False,,d,9,54,26,91390,3664,289409,8306,0.7,4.9,Andreas,30.0,689,1,1,3,8,0,0,1,2,0,0,1,116,105.8,383.1,111.0,60.0,9,1.92,1.90,3.82,7.28,172,65,2,2,82,51,25,18,1.0,,1.0,,1.0,,0.25,0.0,0.25,0.5,0.95,1.04,154,90,63,23,133,54,153,48,1.18,0.39
285,,,232892,0,0,0,0,0,2,0.7,0.7,2,Calvin,0.7,241,False,,,45,232892.jpg,1.9,Bassey,0.4,False,,a,9,54,17,30239,986,28790,984,0.2,3.8,Bassey,157.0,810,0,0,1,12,0,0,0,3,0,0,0,87,149.6,10.3,15.0,17.4,9,0.19,0.08,0.27,10.63,100,36,328,105,270,81,223,72,,,,,,,0.02,0.0,0.01,0.03,1.18,1.33,384,73,279,88,233,76,275,102,1.0,0.11
286,,,428971,0,0,0,0,0,1,0.0,0.0,0,Steven,0.0,242,False,,,40,428971.jpg,0.0,Benda,0.5,False,,a,9,54,0,19237,327,18870,520,0.0,0.0,Benda,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,470,47,456,28,411,20,473,47,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,617,58,395,43,475,47,259,39,0.0,0.0
287,,,76357,0,0,-2,2,0,3,0.7,0.7,0,Tom,0.7,243,False,,,48,76357.jpg,0.7,Cairney,0.0,False,,a,9,54,4,1974,104,3618,111,0.1,0.8,Cairney,243.0,102,0,0,0,3,0,0,0,2,0,0,0,34,25.6,49.6,4.0,8.1,0,0.00,0.51,0.51,1.92,327,151,201,127,341,188,305,153,,,,,,,0.0,0.0,0.45,0.45,1.69,2.65,294,196,286,140,424,212,550,224,0.0,0.0
288,0.0,0.0,166477,0,0,-3,3,0,2,0.0,0.0,0,Timothy,0.3,244,False,Hamstring injury - Unknown return date,2024-10-18T17:30:07.030897Z,42,166477.jpg,1.0,Castagne,0.8,False,,i,9,54,1,14998,23,206066,5645,0.1,0.2,Castagne,21.0,13,0,0,0,1,0,0,0,0,0,0,0,-2,8.8,0.7,0.0,1.0,0,0.00,0.00,0.00,0.23,384,136,393,137,456,173,415,140,,,,,,,0.0,0.0,0.0,0.0,1.59,6.92,571,154,319,102,340,115,220,81,0.0,0.0
289,,,219924,0,0,-1,1,0,2,0.0,0.0,2,Issa,0.0,245,False,,,44,219924.jpg,1.1,Diop,0.2,False,,a,9,54,8,15238,284,20090,393,0.0,1.8,Diop,73.0,390,0,0,0,5,1,0,0,1,0,0,0,36,80.6,23.2,36.0,13.7,4,0.26,0.02,0.28,4.77,212,80,274,81,203,51,258,85,,,,,,,0.06,0.0,0.0,0.06,1.1,1.15,503,106,480,192,326,104,340,118,0.92,0.0
