,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
309,100.0,100.0,462387,-1,1,-2,2,0,4,0.0,0.0,0,Ali,0.0,260,False,,2024-10-05T09:30:06.031534Z,48,462387.jpg,0.3,Al-Hamadi,0.3,False,,a,10,40,1,33118,1220,46601,1571,0.0,0.2,Al-Hamadi,103.0,32,0,0,0,1,0,0,0,2,0,0,0,0,4.0,11.5,4.0,2.0,0,0.00,0.02,0.02,0.66,408,40,320,34,343,42,387,41,,,,,2.0,,0.0,0.0,0.06,0.06,1.86,2.81,322,61,593,54,441,46,305,51,0.0,0.0
310,0.0,0.0,517178,0,0,0,0,0,2,0.0,0.0,0,Elkan,0.0,261,False,Season long loan to Blackpool,2024-08-07T08:20:38.133494Z,40,517178.jpg,0.0,Baggott,0.0,False,,u,10,40,0,0,0,2277,36,0.0,0.0,Baggott,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,496,177,483,177,441,159,499,177,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,650,201,425,150,502,175,596,203,0.0,0.0
311,100.0,100.0,173818,0,0,-1,1,0,3,0.0,0.0,0,Nathan,0.0,262,False,,2024-08-05T15:00:04.392829Z,49,173818.jpg,0.0,Broadhead,0.0,False,,a,10,40,0,618,37,1213,37,0.0,0.0,Broadhead,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,629,281,625,283,614,276,630,282,,,1.0,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,261,170,602,260,631,283,631,280,0.0,0.0
312,,,122411,0,0,-1,1,0,2,0.3,0.3,0,Cameron,0.3,263,False,,,39,122411.jpg,0.5,Burgess,1.3,False,,a,10,40,1,121364,11597,35170,3881,0.1,0.3,Burgess,13.0,180,0,0,0,6,0,0,0,0,0,0,0,15,54.8,15.5,35.0,10.6,2,0.13,0.04,0.17,5.85,269,98,302,94,208,54,288,93,,,,,,,0.06,0.0,0.02,0.08,2.92,3.0,666,216,313,97,431,142,181,65,1.0,0.0
313,100.0,100.0,149929,0,0,-1,1,0,3,1.7,1.7,1,Wes,1.7,264,False,,2024-08-17T20:30:06.143860Z,49,149929.jpg,1.3,Burns,0.0,False,,a,10,40,9,1762,120,7514,145,0.3,1.8,Burns,244.0,397,0,0,0,11,0,0,0,1,0,0,0,49,26.4,61.4,25.0,10.5,5,0.23,0.58,0.81,12.73,326,150,175,112,233,133,291,145,,,,,,,0.05,0.0,0.13,0.18,2.89,2.49,256,165,192,93,307,151,536,215,1.13,0.0
314,,,196411,0,0,-3,3,0,3,2.3,2.3,5,Conor,2.3,265,False,,,52,196411.jpg,1.6,Chaplin,0.1,False,,a,10,40,13,3256,336,18338,234,0.4,2.5,Chaplin,241.0,195,0,1,0,4,0,0,0,0,0,0,0,57,37.8,54.0,25.0,11.7,2,0.15,0.17,0.32,6.06,307,141,191,123,234,134,276,137,,,,,,,0.07,0.0,0.08,0.15,2.8,1.85,174,107,147,63,273,128,431,155,0.92,0.0
315,0.0,100.0,232228,0,0,0,0,0,2,0.0,-1.3,-5,Harry,-1.3,266,False,Suspended until 10 Nov,2024-10-26T20:00:07.408041Z,40,232228.jpg,-2.0,Clarke,0.0,False,,s,10,40,-4,2716,256,3010,397,-0.3,-1.0,H.Clarke,241.0,95,0,0,0,4,1,0,0,0,1,0,0,-21,1.6,4.4,0.0,0.5,1,0.00,0.04,0.04,3.82,428,146,358,119,407,140,423,143,,,,,,,0.0,0.0,0.04,0.04,3.62,3.79,613,179,670,220,670,220,540,190,0.95,0.0
316,,,455084,0,0,0,0,1,2,1.0,1.0,2,Leif,1.0,267,False,,,45,455084.jpg,2.3,Davis,2.2,False,,a,10,40,21,199268,3004,144404,7058,0.2,4.7,Davis,241.0,810,0,2,1,20,0,0,0,1,0,0,3,97,159.2,305.9,41.0,50.7,9,0.46,1.75,2.21,21.55,81,27,7,1,192,48,40,4,1.0,,4.0,,,,0.05,0.0,0.19,0.24,2.39,2.22,402,81,243,77,181,53,132,49,1.0,0.11
317,,,463034,0,0,2,-2,1,4,4.3,4.3,5,Liam,4.3,268,False,,,57,463034.jpg,4.2,Delap,5.7,False,,a,10,40,38,773475,30807,236051,27807,0.8,6.7,Delap,241.0,632,5,0,0,16,0,0,0,2,0,0,4,155,185.6,63.9,186.0,43.2,8,1.52,0.08,1.60,16.08,61,9,163,19,35,15,55,13,,,,,,,0.22,0.0,0.01,0.23,2.29,2.28,100,31,42,13,42,13,72,12,1.14,0.0
318,0.0,0.0,214964,0,0,0,0,0,2,0.0,0.0,0,George,0.0,269,False,Loaned to Middlesbrough,2024-08-31T08:22:49.668219Z,40,214964.jpg,1.0,Edmundson,0.1,False,,u,10,40,1,2076,0,12188,197,0.0,0.2,Edmundson,,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,463,160,449,160,402,137,466,160,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,606,174,387,128,334,110,457,166,0.0,0.0
