,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
342,,,536916,1,-1,1,-1,1,3,6.3,6.3,2,Facundo,6.3,117,False,,,51,536916.jpg,4.5,Buonanotte,2.7,False,,a,11,13,36,310294,48359,50959,8367,1.2,7.1,Buonanotte,10.0,549,3,2,1,10,0,0,0,3,0,0,3,144,217.6,187.7,142.0,54.7,6,2.15,0.86,3.01,11.99,35,10,34,29,59,34,33,23,3.0,,,,,,0.35,0.0,0.14,0.49,1.97,1.64,187,118,16,6,33,14,119,39,0.98,0.16
343,,,80146,0,0,-3,3,0,3,2.7,2.7,0,Jordan,2.7,192,False,,,52,80146.jpg,1.7,Ayew,0.2,False,,a,11,13,15,11505,664,35782,1029,0.5,2.9,J.Ayew,81.0,421,1,0,1,8,0,0,0,4,0,0,0,59,57.6,73.1,72.0,20.1,4,0.88,0.14,1.02,8.82,257,115,141,97,126,81,207,103,,,2.0,,,,0.19,0.0,0.03,0.22,1.89,1.71,168,102,119,50,264,122,354,127,0.86,0.21
344,100.0,100.0,199670,0,0,-2,2,0,4,0.3,0.3,0,Odsonne,0.3,198,False,,2024-09-05T11:30:06.462155Z,53,199670.jpg,1.2,Edouard,0.3,False,,a,11,13,6,29836,545,77441,1806,0.1,1.1,Edouard,73.0,139,0,0,0,3,0,0,0,0,0,0,0,9,3.0,25.0,50.0,7.8,1,0.39,0.07,0.46,3.68,419,42,270,31,168,32,311,35,,,,,,,0.25,0.0,0.05,0.3,2.38,1.94,157,43,350,39,320,33,314,53,0.65,0.0
345,,,225902,0,0,-1,1,0,3,0.0,0.0,0,Boubakary,0.0,285,False,,,44,225902.jpg,0.3,Soumaré,0.2,False,,a,11,13,1,19729,3837,18537,1209,0.0,0.2,B.Soumaré,73.0,29,0,0,0,0,0,0,0,2,0,0,0,5,1.2,1.6,0.0,0.3,0,0.00,0.02,0.02,0.94,429,211,380,204,495,207,431,213,,,,,,,0.0,0.0,0.06,0.06,2.92,0.0,510,297,484,183,440,221,346,123,0.0,0.0
346,0.0,0.0,461416,0,0,0,0,0,4,0.0,0.0,0,Tom,0.0,286,False,Loaned to Stoke City,2024-08-31T06:20:48.397195Z,45,461416.jpg,0.0,Cannon,0.6,False,,u,11,13,0,49177,0,127368,2359,0.0,0.0,Cannon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,566,48,565,48,537,48,569,48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,404,67,522,44,572,50,242,43,0.0,0.0
347,75.0,0.0,197469,0,0,-1,1,0,3,0.0,0.0,0,Hamza,0.0,287,False,Shoulder injury - 75% chance of playing,2024-10-04T00:00:05.751780Z,44,197469.jpg,1.0,Choudhury,0.4,False,,d,11,13,1,63578,167,51682,2549,0.0,0.2,Choudhury,241.0,14,0,0,0,1,0,0,0,0,0,0,0,4,3.0,0.0,0.0,0.3,0,0.00,0.00,0.00,1.03,417,203,521,222,488,206,430,212,,,,,,,0.0,0.0,0.0,0.0,6.62,6.43,495,295,477,181,348,164,270,86,0.0,0.0
348,100.0,100.0,94147,0,0,0,0,0,2,0.0,0.0,0,Conor,0.0,288,False,,2024-08-12T14:30:04.626270Z,40,94147.jpg,0.0,Coady,0.3,False,,a,11,13,0,20325,816,18854,844,0.0,0.0,Coady,241.0,7,0,0,0,1,0,0,0,1,0,0,0,-6,2.0,0.0,0.0,0.2,0,0.00,0.00,0.00,0.99,425,145,431,151,382,126,435,147,,,,,,,0.0,0.0,0.0,0.0,12.73,12.86,584,161,368,118,452,150,312,114,0.0,0.0
349,0.0,0.0,245419,0,0,-2,2,0,4,0.0,0.0,0,Patson,0.0,289,False,Ankle injury - Unknown return date,2024-08-12T14:30:04.636525Z,48,245419.jpg,0.0,Daka,0.1,False,,i,11,13,0,10459,492,30812,609,0.0,0.0,Daka,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,620,55,618,55,602,55,621,55,,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,314,59,590,52,624,57,435,60,0.0,0.0
350,,,96994,0,0,-3,3,0,3,0.7,0.7,0,Bobby,0.7,290,False,,,52,96994.jpg,1.3,De Cordova-Reid,0.1,False,,a,11,13,8,2594,53,11828,224,0.1,1.5,De Cordova-Reid,107.0,159,0,0,0,4,0,0,0,0,0,0,0,21,9.4,14.9,19.0,4.3,2,0.10,0.06,0.16,4.05,380,182,307,178,253,145,355,176,,,,,,,0.06,0.0,0.03,0.09,2.29,2.26,170,104,301,149,310,153,479,178,1.13,0.0
351,,,218218,0,0,2,-2,0,2,2.7,2.7,1,Wout,2.7,291,False,,,42,218218.jpg,2.2,Faes,13.2,False,,a,11,13,20,1216238,10708,553029,28521,0.6,4.8,Faes,21.0,810,1,0,1,17,0,0,0,1,0,0,0,74,243.2,19.8,62.0,32.5,9,0.83,0.14,0.97,18.85,23,5,283,85,142,26,110,25,,,,,,,0.09,0.0,0.02,0.11,2.09,1.89,572,155,109,35,190,58,27,10,1.0,0.11
352,,,549640,0,0,-1,1,0,3,0.0,0.0,0,Michael,0.0,292,False,,,44,549640.jpg,0.0,Golding,0.3,False,,a,11,13,0,32897,4174,13428,1989,0.0,0.0,Golding,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,543,222,541,228,510,213,546,225,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,534,304,497,189,549,228,316,104,0.0,0.0
353,,,467189,0,0,0,0,0,1,3.3,3.3,1,Mads,3.3,293,False,,,45,467189.jpg,2.8,Hermansen,1.0,False,,a,11,13,25,93337,4428,49303,3145,0.7,5.6,Hermansen,58.0,810,0,0,1,17,0,0,0,0,0,41,0,116,338.0,0.2,0.0,33.9,9,0.00,0.00,0.00,18.85,6,2,410,6,543,58,94,2,,,,,,,0.0,4.56,0.0,0.0,2.09,1.89,410,16,78,7,139,21,205,29,1.0,0.11
354,,,207270,0,0,0,0,0,1,0.0,0.0,0,Daniel,0.0,294,False,,,40,207270.jpg,0.0,Iversen,0.6,False,,a,11,13,0,21192,421,29684,816,0.0,0.0,Iversen,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,460,42,446,23,399,15,463,42,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,603,53,384,38,466,42,231,34,0.0,0.0
355,,,220627,0,0,1,-1,2,2,4.0,4.0,1,James,4.0,295,False,,,46,220627.jpg,3.4,Justin,4.8,False,,a,11,13,31,545050,20140,88455,21129,0.9,6.7,Justin,241.0,810,2,1,1,17,0,0,0,1,0,0,2,120,229.4,74.4,72.0,37.6,9,0.37,0.16,0.53,18.85,27,8,138,31,124,19,74,12,,,,,,,0.04,0.0,0.02,0.06,2.09,1.89,348,48,50,14,83,20,79,27,1.0,0.11
