,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
433,,,493250,-1,1,-1,1,0,3,-0.2,0.3,1,Amad,0.3,364,False,,,49,493250.jpg,3.0,Diallo,2.8,False,,a,14,1,21,467646,2024,537898,22911,0.1,4.3,Amad,54.0,371,1,1,3,3,0,0,0,1,0,0,0,86,109.4,184.6,114.0,40.8,4,0.47,0.95,1.42,7.54,169,64,35,30,78,47,65,42,3.0,,,,,,0.11,0.0,0.23,0.34,1.83,0.73,288,191,342,169,121,45,114,37,0.97,0.73
434,25.0,25.0,467169,0,0,-3,3,0,3,-0.1,0.1,0,Antony Matheus,0.3,365,False,Foot injury - 25% chance of playing,2024-10-25T13:00:06.238324Z,57,467169.jpg,1.0,dos Santos,0.2,False,,d,14,1,2,12073,77,26640,1359,0.1,0.4,Antony,30.0,27,0,0,0,1,0,0,0,0,0,0,0,6,7.2,11.3,10.0,2.8,0,0.15,0.05,0.20,0.74,393,190,321,185,297,163,372,183,,,,,,,0.5,0.0,0.17,0.67,2.47,3.33,101,62,353,177,405,204,358,128,0.0,0.0
435,100.0,100.0,141746,0,0,-3,3,0,3,2.8,3.3,2,Bruno,3.3,366,False,,2024-09-29T21:00:06.390627Z,82,141746.jpg,2.6,Borges Fernandes,6.6,False,,a,14,1,23,288149,7366,1550280,19886,0.4,2.8,B.Fernandes,173.0,749,0,2,4,10,0,0,0,1,1,0,0,123,143.4,197.3,149.0,48.8,9,2.48,1.69,4.17,12.05,113,39,30,25,54,31,43,31,2.0,,1.0,,1.0,,0.3,0.0,0.2,0.5,1.45,1.2,10,7,89,35,162,70,62,18,1.08,0.48
436,,,451302,0,0,-1,1,0,1,-0.5,0.0,0,Altay,0.0,367,False,,,44,451302.jpg,0.0,Bayindir,0.1,False,,a,14,1,0,1301,44,5305,144,0.0,0.0,Bayindir,219.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,536,67,534,59,503,52,539,67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,523,31,490,67,542,67,452,63,0.0,0.0
437,100.0,100.0,61256,0,0,-2,2,1,3,3.8,4.3,10,Carlos Henrique,4.3,368,False,,2024-10-19T22:30:06.016922Z,48,61256.jpg,2.6,Casimiro,0.5,False,,a,14,1,21,46361,5376,68115,1102,0.9,4.4,Casemiro,30.0,455,1,0,1,9,0,0,0,0,0,0,3,127,158.2,167.9,111.0,43.8,5,0.90,1.13,2.03,9.63,83,27,45,38,81,50,53,35,,,,,,,0.18,0.0,0.22,0.4,1.9,1.78,293,195,37,15,156,66,257,82,0.99,0.2
438,,,216051,0,0,1,-1,2,2,2.2,2.7,1,Diogo,2.7,369,False,,,51,216051.jpg,4.1,Dalot Teixeira,10.0,False,,a,14,1,37,762071,19217,606725,44203,0.5,7.3,Dalot,173.0,810,0,1,4,11,0,0,0,2,0,0,6,157,162.0,136.7,42.0,33.9,9,0.57,0.99,1.56,15.24,78,25,63,11,188,47,95,18,,,,,,,0.06,0.0,0.11,0.17,1.69,1.22,185,20,118,37,43,6,44,16,1.0,0.44
439,,,80607,0,0,-1,1,0,3,1.5,2.0,2,Christian,2.0,370,False,,,54,80607.jpg,1.9,Eriksen,0.2,False,,a,14,1,13,17348,1931,20166,1163,0.4,2.4,Eriksen,58.0,427,0,0,3,3,0,0,0,2,0,0,0,83,66.6,207.7,19.0,29.3,5,0.09,1.06,1.15,7.43,237,103,28,24,254,146,132,77,1.0,,4.0,,,,0.02,0.0,0.22,0.24,1.57,0.63,128,77,181,85,241,107,336,118,1.05,0.63
440,100.0,75.0,37642,0,0,-1,1,1,2,2.8,2.5,0,Jonny,3.3,371,False,,2024-10-25T13:00:06.277059Z,44,37642.jpg,3.0,Evans,0.1,False,,a,14,1,12,6086,151,9683,782,0.7,2.7,Evans,242.0,200,0,0,1,1,0,0,0,1,0,0,3,47,37.8,3.3,6.0,4.7,2,0.08,0.02,0.10,1.21,306,109,364,122,322,105,344,112,,,,,,,0.04,0.0,0.01,0.05,0.54,0.45,474,88,72,21,114,31,423,155,0.9,0.45
441,100.0,100.0,493105,0,0,-3,3,1,3,4.5,5.0,2,Alejandro,5.0,372,False,,2024-10-07T15:30:06.108745Z,62,493105.jpg,3.6,Garnacho,8.8,False,,a,14,1,32,534267,40325,1376868,28917,0.8,5.2,Garnacho,10.0,589,2,1,2,10,0,0,0,1,0,0,3,107,144.0,139.3,259.0,54.0,6,3.00,0.47,3.47,12.02,112,38,61,50,19,10,35,25,,,,,,,0.46,0.0,0.07,0.53,1.84,1.53,72,48,33,13,73,31,51,13,0.92,0.31
442,0.0,0.0,465527,0,0,0,0,0,3,0.0,0.0,0,Hannibal,0.0,373,False,Permanent move to Burnley,2024-08-30T09:47:42.727251Z,45,465527.jpg,0.0,Mejbri,0.0,False,,u,14,1,0,1740,0,10434,96,0.0,0.0,Hannibal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,570,237,569,243,541,229,573,240,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,408,245,526,205,576,243,518,202,0.0,0.0
