,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
531,,,225321,0,0,-1,1,0,1,1.8,0.8,4,Aaron,2.3,14,False,,,44,225321.jpg,2.4,Ramsdale,2.1,False,,a,17,20,17,232459,4086,124816,3940,0.5,3.9,Ramsdale,241.0,630,0,0,0,17,0,0,0,0,0,29,0,64,215.2,0.0,0.0,21.5,7,0.00,0.01,0.01,17.51,37,10,527,56,494,49,191,11,,,,,,,0.0,4.14,0.0,0.0,2.5,2.43,509,28,134,13,168,23,136,19,1.0,0.0
532,,,433979,0,0,0,0,1,4,5.5,4.5,2,Cameron,6.0,27,False,,,50,433979.jpg,2.6,Archer,2.4,False,,a,17,20,23,300256,23725,189786,11200,1.2,4.6,Archer,241.0,431,2,0,0,9,0,0,1,0,0,0,4,67,81.4,13.9,203.0,30.0,4,3.46,0.08,3.54,11.62,211,22,309,33,31,13,125,21,,,,,2.0,,0.72,0.0,0.02,0.74,2.43,1.88,222,47,19,5,158,25,124,21,0.84,0.0
533,,,503714,0,0,0,0,0,3,-0.5,-1.5,0,Lesley,0.0,188,False,,,45,503714.jpg,1.3,Ugochukwu,0.4,False,,a,17,20,4,41388,448,37933,1537,0.0,0.9,Ugochukwu,73.0,139,0,0,0,6,0,0,0,0,0,0,0,9,15.8,24.6,6.0,4.7,2,0.21,0.05,0.26,3.43,358,169,271,161,325,178,345,171,,,,,,,0.14,0.0,0.03,0.17,2.22,3.88,436,265,545,221,305,149,282,92,1.29,0.0
534,100.0,0.0,90105,0,0,-2,2,0,3,-1.2,0.0,0,Ryan,-0.7,397,False,,2024-10-19T16:30:06.951811Z,48,90105.jpg,0.2,Fraser,0.0,False,,a,17,20,1,1540,45,3041,144,-0.1,0.2,Fraser,243.0,140,0,0,0,7,0,0,0,0,1,0,0,6,16.8,12.4,9.0,3.0,2,0.02,0.09,0.11,3.99,352,166,314,182,303,165,366,179,,,,,,,0.01,0.0,0.06,0.07,2.56,4.5,296,198,669,304,442,222,562,231,1.29,0.0
535,0.0,0.0,502697,0,0,-1,1,0,3,0.0,0.0,0,Carlos,0.0,450,False,Permanent transfer to Flamengo,2024-08-30T09:48:28.633540Z,49,502697.jpg,1.0,Alcaraz Durán,0.0,False,,u,17,20,1,1072,0,9548,66,0.0,0.2,Alcaraz,,9,0,0,0,0,0,0,0,0,0,0,0,4,8.4,15.9,19.0,4.3,0,0.07,0.03,0.10,0.00,387,187,299,174,252,144,354,175,,,,,,,0.7,0.0,0.3,1.0,0.0,0.0,289,192,612,268,388,193,576,243,0.0,0.0
536,,,499724,0,0,0,0,0,3,-0.5,-1.5,0,Samuel,0.0,451,False,,,45,499724.jpg,1.0,Amo-Ameyaw,0.1,False,,a,17,20,1,9559,128,11069,340,0.0,0.2,Amo-Ameyaw,241.0,9,0,0,0,0,0,0,0,0,0,0,0,4,4.0,15.0,6.0,2.5,0,0.02,0.13,0.15,0.00,406,197,305,177,324,177,377,187,,,,,,,0.2,0.0,1.3,1.5,0.0,0.0,435,264,544,220,355,168,433,156,0.0,0.0
537,,,193204,0,0,-1,1,0,3,3.5,2.5,1,Joe,4.0,452,False,,,49,193204.jpg,2.5,Aribo,0.1,False,,a,17,20,20,5849,462,6272,386,0.8,4.1,Aribo,157.0,481,1,0,0,12,0,0,0,0,0,0,2,98,99.0,71.3,90.0,26.2,5,1.23,0.55,1.78,13.50,185,73,145,98,99,65,153,87,,,,,,,0.23,0.0,0.1,0.33,2.53,2.25,262,171,53,19,164,72,490,186,0.94,0.0
538,,,155511,0,0,-3,3,0,4,-0.2,-1.2,0,Adam,0.3,453,False,,,52,155511.jpg,1.0,Armstrong,0.6,False,,a,17,20,6,85895,1013,190993,3404,0.1,1.2,Armstrong,241.0,274,0,0,0,5,0,0,0,2,0,0,0,10,13.6,28.1,79.0,12.0,3,0.85,0.20,1.05,6.70,366,34,262,29,113,26,273,30,,,,,1.0,,0.28,0.0,0.07,0.35,2.2,1.64,173,44,345,38,394,39,238,41,0.99,0.0
539,0.0,0.0,456350,0,0,-1,1,0,1,0.0,0.0,0,Gavin,0.0,454,False,Achilles injury - Expected back 15 Feb,2024-08-23T09:30:06.171400Z,44,456350.jpg,0.0,Bazunu,0.1,False,,i,17,20,0,1455,50,20746,278,0.0,0.0,Bazunu,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,537,68,535,60,504,53,540,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,524,32,491,68,543,68,426,60,0.0,0.0
540,,,171771,0,0,0,0,0,2,0.5,-0.5,2,Jan,1.0,455,False,,,40,171771.jpg,1.2,Bednarek,3.2,False,,a,17,20,11,349528,8992,168081,5585,0.2,2.8,Bednarek,172.0,800,0,0,0,19,0,0,0,2,0,0,0,66,235.6,43.4,8.0,28.6,9,0.00,0.73,0.73,20.21,26,7,215,55,309,99,136,33,,,,,,,0.0,0.0,0.08,0.08,2.27,2.14,594,166,234,69,312,100,105,40,1.01,0.0
