,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
568,100.0,100.0,154566,0,0,2,-2,0,4,3.5,3.5,2,Dominic,3.0,82,False,,2024-08-23T14:00:06.228956Z,77,154566.jpg,3.6,Solanke-Mitchell,12.3,False,,a,18,6,25,1242471,8769,2694505,99444,0.4,3.2,Solanke,241.0,617,2,1,1,8,0,0,0,0,0,0,0,94,133.0,71.3,230.0,43.4,7,3.55,0.59,4.14,6.94,132,15,146,15,27,11,54,12,,,,,,,0.52,0.0,0.09,0.61,1.01,1.17,15,6,107,20,75,18,34,8,1.02,0.15
569,0.0,0.0,548308,0,0,0,0,0,2,0.0,0.0,0,Ashley,0.0,478,False,Loaned to Stoke City,2024-08-26T10:10:07.966773Z,40,548308.jpg,0.0,Phillips,0.2,False,,u,18,6,0,8361,0,36854,526,0.0,0.0,A.Phillips,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,501,182,488,182,446,164,504,182,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,655,206,430,155,507,180,345,121,0.0,0.0
570,,,214572,0,0,0,0,0,1,0.5,0.5,0,Brandon,0.0,479,False,,,40,214572.jpg,0.0,Austin,0.5,False,,a,18,6,0,23878,576,18250,704,0.0,0.0,Austin,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,462,43,448,24,401,16,465,43,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,605,54,386,39,468,43,249,37,0.0,0.0
571,100.0,100.0,202993,0,0,0,0,0,3,1.8,1.8,1,Rodrigo,1.3,480,False,,2024-08-19T23:00:06.174776Z,50,202993.jpg,1.4,Bentancur,0.2,False,,a,18,6,11,15582,605,24754,985,0.3,2.2,Bentancur,230.0,394,0,0,1,6,0,0,0,3,0,0,0,75,49.2,49.3,37.0,13.6,5,0.39,0.19,0.58,5.13,281,130,202,128,201,116,259,126,,,,,,,0.09,0.0,0.04,0.13,1.17,1.37,203,127,221,108,295,141,371,132,1.14,0.23
572,100.0,100.0,570526,0,0,0,0,0,3,0.5,0.5,0,Lucas,0.0,481,False,,2024-10-16T12:30:07.550630Z,45,570526.jpg,1.0,Bergvall,0.8,False,,a,18,6,5,75425,673,87338,2697,0.0,1.1,Bergvall,206.0,46,0,0,0,0,0,0,0,0,0,0,0,19,14.0,31.5,8.0,5.3,0,0.08,0.27,0.35,0.31,365,175,252,152,311,171,335,167,4.0,,,,,,0.16,0.0,0.53,0.69,0.61,0.0,459,284,567,239,359,171,223,73,0.0,0.0
573,100.0,100.0,227127,0,0,-1,1,1,3,4.8,4.8,2,Yves,4.3,482,False,,2024-09-13T15:00:07.156577Z,49,227127.jpg,3.8,Bissouma,0.4,False,,a,18,6,23,72532,3548,52578,1900,0.9,4.7,Bissouma,132.0,356,2,0,1,4,0,0,0,2,0,0,4,117,132.2,54.6,26.0,21.3,4,0.26,0.24,0.50,4.26,133,46,190,122,231,131,192,100,,,,,,,0.07,0.0,0.06,0.13,1.08,1.01,272,180,39,17,56,23,265,84,1.01,0.25
574,0.0,0.0,436234,0,0,0,0,0,3,0.0,0.0,0,Bryan,0.0,483,False,On loan to Girona for the season,2024-07-31T11:08:25.895794Z,50,436234.jpg,0.0,Gil Salvatierra,0.0,False,,u,18,6,0,0,0,136,0,0.0,0.0,Bryan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,639,288,637,289,634,287,640,289,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,223,143,620,275,640,289,665,302,0.0,0.0
575,,,115556,-1,1,-2,2,0,2,0.5,0.5,0,Ben,0.0,484,False,,,43,115556.jpg,0.0,Davies,0.2,False,,a,18,6,0,6001,186,14500,408,0.0,0.0,Davies,244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,513,192,501,191,463,177,516,192,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,545,131,451,172,519,190,376,133,0.0,0.0
576,0.0,0.0,496179,0,0,0,0,0,3,0.0,0.0,0,Alfie,0.0,485,False,Loaned to Westerlo,2024-09-10T11:37:22.522366Z,45,496179.jpg,0.0,Devine,0.1,False,,u,18,6,0,4716,0,10796,212,0.0,0.0,Devine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,583,247,583,253,558,239,586,250,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,428,257,540,216,589,253,488,184,0.0,0.0
577,,,493125,0,0,-2,2,0,2,0.5,0.5,0,Radu,0.0,486,False,,,43,493125.jpg,1.0,Drăgușin,0.2,False,,a,18,6,2,6072,184,16437,408,0.0,0.5,Dragusin,177.0,99,0,0,0,2,0,0,0,0,0,0,0,8,19.4,1.7,6.0,2.7,1,0.02,0.01,0.03,1.76,340,122,379,129,321,104,374,123,,,,,,,0.02,0.0,0.01,0.03,1.6,1.82,564,148,462,182,345,120,394,141,0.91,0.0
