,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
604,,,214590,0,0,-1,1,0,2,1.3,1.3,2,Aaron,1.3,388,False,,,44,214590.jpg,1.4,Wan-Bissaka,1.6,False,,a,19,21,11,78119,3057,124326,3651,0.3,2.5,Wan-Bissaka,241.0,658,0,0,0,14,0,0,0,0,0,0,0,61,139.4,126.4,37.0,30.2,7,0.07,0.58,0.65,12.35,119,46,76,16,200,49,123,29,,,,,,,0.01,0.0,0.08,0.09,1.69,1.91,501,104,206,58,289,94,162,59,0.96,0.0
605,100.0,100.0,213999,0,0,0,0,0,3,1.3,1.3,2,Edson,1.3,511,False,,2024-09-25T22:30:06.686767Z,50,213999.jpg,1.1,Álvarez Velázquez,0.1,False,,a,19,21,8,9008,575,10588,390,0.3,1.6,Álvarez,139.0,361,0,0,0,7,0,0,0,2,0,0,0,51,54.0,57.4,12.0,12.4,4,0.06,0.27,0.33,7.51,271,122,182,116,284,157,268,132,,,,,,,0.01,0.0,0.07,0.08,1.87,1.75,208,130,222,109,327,162,416,150,1.0,0.0
606,,,57531,0,0,-1,1,1,4,7.3,7.3,2,Michail,7.3,512,False,,,54,57531.jpg,3.8,Antonio,2.8,False,,a,19,21,34,309616,23952,192073,17625,1.4,6.3,Antonio,107.0,557,1,4,2,10,0,0,0,1,0,0,3,98,62.0,90.1,145.0,28.9,8,1.87,0.83,2.70,10.48,248,25,120,8,58,20,134,22,,,,,,,0.3,0.0,0.13,0.43,1.69,1.62,127,36,8,3,57,16,115,19,1.29,0.32
607,100.0,100.0,84182,0,0,-1,1,0,1,0.3,0.3,0,Alphonse,0.3,513,False,,2024-09-01T00:30:06.144103Z,44,84182.jpg,1.9,Areola,6.4,False,,a,19,21,15,208667,2564,477732,19288,0.1,3.4,Areola,73.0,675,0,0,1,14,1,0,0,0,0,20,0,56,159.6,0.0,0.0,16.0,8,0.00,0.00,0.00,11.76,79,17,515,51,481,44,232,18,,,,,,,0.0,2.67,0.0,0.0,1.57,1.87,481,22,321,25,232,27,64,12,1.07,0.13
608,,,178186,0,0,-1,1,1,3,7.0,7.0,7,Jarrod,7.0,514,False,,,74,178186.jpg,5.0,Bowen,6.1,False,,a,19,21,45,448795,69009,564968,13069,0.9,6.1,Bowen,241.0,787,3,3,1,15,0,0,0,0,0,0,2,169,242.6,298.7,256.0,79.7,9,1.88,2.32,4.20,14.68,24,8,10,9,20,11,8,7,2.0,,,,4.0,,0.21,0.0,0.27,0.48,1.68,1.72,18,12,10,5,18,10,69,22,1.03,0.11
609,,,164555,-1,1,-2,2,0,2,0.0,0.0,0,Vladimír,0.0,516,False,,,43,164555.jpg,2.2,Coufal,0.6,False,,a,19,21,9,21426,250,52004,1640,0.0,2.1,Coufal,57.0,198,0,0,1,3,0,0,0,0,0,0,0,18,19.2,17.5,1.0,3.5,2,0.02,0.10,0.12,4.19,341,123,289,88,367,121,360,119,,,,,,,0.01,0.0,0.05,0.06,1.9,1.36,548,133,453,174,191,59,244,88,0.91,0.45
610,100.0,100.0,55459,0,0,0,0,0,2,0.3,0.3,0,Aaron,0.3,517,False,,2024-08-30T04:00:05.718151Z,40,55459.jpg,0.8,Cresswell,1.7,False,,a,19,21,3,72946,1724,140564,3677,0.1,0.8,Cresswell,241.0,26,0,0,0,0,0,0,0,1,0,0,0,9,4.8,11.8,1.0,1.8,0,0.03,0.01,0.04,0.94,400,139,318,100,366,120,393,130,,,2.0,,,,0.1,0.0,0.03,0.13,3.25,0.0,580,158,314,98,413,133,158,58,0.0,0.0
611,0.0,0.0,490885,0,0,0,0,0,3,0.0,0.0,0,George,0.0,519,False,Loaned to Bristol City,2024-08-16T11:57:26.531525Z,45,490885.jpg,0.0,Earthy,0.0,False,,u,19,21,0,0,0,6811,91,0.0,0.0,Earthy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,578,242,578,248,553,234,581,245,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,423,252,535,211,584,248,548,222,0.0,0.0
612,100.0,100.0,109533,0,0,-1,1,0,2,1.0,1.0,1,Emerson,1.0,520,False,,2024-09-14T18:00:06.450752Z,44,109533.jpg,1.3,Palmieri dos Santos,0.5,False,,a,19,21,12,27038,609,45760,1135,0.2,2.7,Emerson,106.0,683,0,0,1,15,0,0,0,3,0,0,0,53,110.8,129.5,55.0,29.3,9,0.93,1.12,2.05,12.78,166,65,70,14,159,30,131,32,3.0,,,,,,0.12,0.0,0.15,0.27,1.68,1.98,486,94,237,72,302,98,248,90,1.19,0.13
613,,,37096,0,0,0,0,0,1,1.0,1.0,3,Łukasz,1.0,521,False,,,40,37096.jpg,2.0,Fabiański,17.3,False,,a,19,21,4,965415,29184,464098,10613,0.2,1.0,Fabianski,172.0,135,0,0,0,2,0,0,0,0,0,6,0,16,45.2,0.0,0.0,4.5,1,0.00,0.00,0.00,3.41,288,26,428,13,379,5,350,26,,,,,,,0.0,4.0,0.0,0.0,2.27,1.33,578,43,233,20,212,24,18,2,0.67,0.0
614,,,82143,0,0,-1,1,0,1,0.0,0.0,0,Wes,0.0,522,False,,,44,82143.jpg,0.0,Foderingham,0.1,False,,a,19,21,0,3503,109,9090,287,0.0,0.0,Foderingham,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,525,65,514,50,480,43,528,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,480,21,470,64,531,65,407,57,0.0,0.0
615,,,84939,0,0,0,0,0,4,2.7,2.7,8,Danny,2.7,523,False,,,50,84939.jpg,4.5,Ings,2.2,False,,a,19,21,18,307064,8204,212090,11363,0.5,3.6,Ings,241.0,47,1,2,0,1,0,0,0,0,0,0,4,60,55.6,10.8,42.0,10.9,0,0.69,0.00,0.69,0.84,265,27,324,35,187,35,282,31,,,,,,,1.32,0.0,0.0,1.32,1.61,1.91,191,45,115,21,32,11,133,24,0.0,0.0
616,,,214048,0,0,0,0,1,2,1.3,1.3,2,Max,1.3,524,False,,,45,214048.jpg,2.2,Kilman,2.2,False,,a,19,21,20,302007,1305,200347,7313,0.3,4.4,Kilman,241.0,810,0,1,1,16,0,0,0,3,0,0,3,86,202.6,69.1,24.0,29.6,9,0.65,0.12,0.77,15.17,49,16,149,35,236,64,129,31,,,,,,,0.07,0.0,0.01,0.08,1.69,1.78,379,68,209,61,196,63,131,48,1.0,0.11
617,0.0,0.0,460842,-1,1,-3,3,0,3,0.0,0.0,0,Mohammed,3.7,525,False,Suspended until 25 Nov,2024-10-19T16:00:07.402004Z,62,460842.jpg,2.9,Kudus,3.0,False,,s,19,21,23,196627,352,752725,27731,0.6,3.7,Kudus,81.0,662,2,0,1,15,0,0,0,0,1,0,0,101,140.8,105.3,282.0,52.8,8,2.83,0.86,3.69,12.75,118,41,107,79,14,7,38,28,,,,,,,0.38,0.0,0.12,0.5,1.73,2.04,69,46,66,25,134,55,109,35,1.09,0.14
618,,,577114,0,0,-2,2,0,3,0.3,0.3,0,Luis Guilherme,0.3,526,False,,,48,577114.jpg,1.0,Lira dos Santos,0.0,False,,a,19,21,1,1343,26,3204,61,0.1,0.2,L.Guilherme,30.0,4,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.1,0.0,0.0,0,0.00,0.00,0.00,0.13,625,279,418,219,609,273,626,280,,,,,,,0.0,0.0,0.0,0.0,2.92,0.0,331,219,339,166,377,184,575,242,0.0,0.0
619,,,224024,0,0,-1,1,0,3,3.0,3.0,0,Lucas,3.0,527,False,,,59,224024.jpg,2.8,Tolentino Coelho de Lima,1.5,False,,a,19,21,25,170521,4445,224761,8749,0.5,4.2,L.Paquetá,30.0,631,2,0,1,13,0,0,0,3,0,0,1,93,126.8,150.1,102.0,37.5,8,2.08,0.68,2.76,12.22,139,49,54,44,88,57,76,48,,,1.0,,1.0,,0.3,0.0,0.1,0.4,1.74,1.85,86,54,102,39,144,59,168,51,1.14,0.14
620,,,233963,0,0,0,0,0,2,0.3,0.3,0,Konstantinos,0.3,528,False,,,45,233963.jpg,1.9,Mavropanos,0.2,False,,a,19,21,15,13522,184,13938,468,0.1,3.3,Mavropanos,83.0,560,0,0,1,9,0,0,0,1,0,0,2,68,155.6,10.0,36.0,20.3,6,0.24,0.29,0.53,11.80,89,29,334,107,204,52,201,60,,,,,,,0.04,0.0,0.05,0.09,1.9,1.45,385,74,326,108,234,77,381,136,0.96,0.16
621,0.0,0.0,210494,0,0,-1,1,0,2,0.0,0.0,0,Nayef,0.0,529,False,On loan to Real Sociedad for the season,2024-09-01T09:10:50.538029Z,44,210494.jpg,0.0,Aguerd,0.1,False,,u,19,21,0,1368,0,12359,114,0.0,0.0,N.Aguerd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,529,203,523,202,490,192,532,203,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,500,103,479,191,535,201,508,185,0.0,0.0
