Energy (keV),Counts
0.05,28498
0.055,27975
0.06,27195
0.065,26265
0.07,25013
0.075,23376
0.08,21411
0.085,19703
0.09,17754
0.095,15962
0.1,13952
0.105,12102
0.11,10488
0.115,8663
0.12,7437
0.125,6083
0.13,4917
0.135,4011
0.14,3245
0.145,2622
0.15,2111
0.155,1796
0.16,1452
0.165,1284
0.17,1140
0.175,967
0.18,953
0.185,965
0.19,1002
0.195,1040
0.2,1145
0.205,1290
0.21,1421
0.215,1495
0.22,1615
0.225,1728
0.23,1871
0.235,1950
0.24,2067
0.245,2176
0.25,2231
0.255,2340
0.26,2401
0.265,2406
0.27,2428
0.275,2378
0.28,2326
0.285,2302
0.29,2125
0.295,2037
0.3,1968
0.305,1860
0.31,1715
0.315,1547
0.32,1433
0.325,1374
0.33,1264
0.335,1122
0.34,974
0.345,911
0.35,853
0.355,803
0.36,785
0.365,741
0.37,663
0.375,661
0.38,668
0.385,682
0.39,643
0.395,697
0.4,688
0.405,730
0.41,728
0.415,815
0.42,881
0.425,883
0.43,901
0.435,976
0.44,1019
0.445,1101
0.45,1194
0.455,1240
0.46,1295
0.465,1381
0.47,1538
0.475,1569
0.48,1614
0.485,1723
0.49,1788
0.495,1981
0.5,2134
0.505,2222
0.51,2372
0.515,2544
0.52,2725
0.525,2900
0.53,3092
0.535,3321
0.54,3686
0.545,3878
0.55,4312
0.555,4511
0.56,4988
0.565,5334
0.57,5795
0.575,6244
0.58,6781
0.585,7243
0.59,7627
0.595,8053
0.6,8531
0.605,9051
0.61,9576
0.615,10031
0.62,10515
0.625,11088
0.63,11695
0.635,12350
0.64,12798
0.645,13451
0.65,14030
0.655,14718
0.66,15534
0.665,16236
0.67,16734
0.675,17154
0.68,17862
0.685,18113
0.69,18334
0.695,18663
0.7,18632
0.705,18459
0.71,17866
0.715,17190
0.72,16466
0.725,15543
0.73,14388
0.735,13379
0.74,12150
0.745,10881
0.75,9885
0.755,8704
0.76,7509
0.765,6586
0.77,5613
0.775,4840
0.78,4138
0.785,3497
0.79,3005
0.795,2485
0.8,2101
0.805,1848
0.81,1538
0.815,1379
0.82,1229
0.825,1108
0.83,1049
0.835,974
0.84,897
0.845,886
0.85,902
0.855,859
0.86,851
0.865,787
0.87,815
0.875,767
0.88,746
0.885,743
0.89,717
0.895,657
0.9,681
0.905,696
0.91,653
0.915,628
0.92,614
0.925,594
0.93,588
0.935,566
0.94,570
0.945,588
0.95,590
0.955,553
0.96,558
0.965,572
0.97,582
0.975,593
0.98,592
0.985,596
0.99,615
0.995,606
1,627
1.005,587
1.01,594
1.015,633
1.02,672
1.025,631
1.03,650
1.035,664
1.04,628
1.045,655
1.05,653
1.055,705
1.06,710
1.065,729
1.07,676
1.075,684
1.08,729
1.085,698
1.09,667
1.095,696
1.1,736
1.105,729
1.11,718
1.115,706
1.12,717
1.125,711
1.13,698
1.135,729
1.14,785
1.145,731
1.15,760
1.155,782
1.16,774
1.165,783
1.17,783
1.175,795
1.18,811
1.185,812
1.19,844
1.195,851
1.2,844
1.205,856
1.21,824
1.215,807
1.22,853
1.225,816
1.23,855
1.235,872
1.24,871
1.245,895
1.25,884
1.255,891
1.26,895
1.265,879
1.27,941
1.275,920
1.28,914
1.285,886
1.29,882
1.295,955
1.3,925
1.305,940
1.31,945
1.315,948
1.32,964
1.325,934
1.33,1029
1.335,977
1.34,961
1.345,966
1.35,998
1.355,1010
1.36,1018
1.365,1002
1.37,1037
1.375,996
1.38,1007
1.385,1034
1.39,982
1.395,1014
1.4,1044
1.405,1048
1.41,1023
1.415,1029
1.42,1066
1.425,1093
1.43,1115
1.435,1103
1.44,1089
1.445,1055
1.45,1074
1.455,1105
