Binding Energy (eV),Counts
760.58,761442
760.08,756871
759.58,760603
759.08,766510
758.58,763535
758.08,760866
757.58,765172
757.08,767725
756.58,766776
756.08,759273
755.58,765007
755.08,764978
754.58,765373
754.08,769511
753.58,772709
753.08,767168
752.58,771506
752.08,774381
751.58,772535
751.08,776712
750.58,775699
750.08,774534
749.58,771616
749.08,775225
748.58,773791
748.08,776445
747.58,777909
747.08,783598
746.58,779275
746.08,778167
745.58,779349
745.08,782800
744.58,787500
744.08,793216
743.58,795719
743.08,796075
742.58,791605
742.08,790763
741.58,790659
741.08,783964
740.58,780187
740.08,771136
739.58,767645
739.08,764313
738.58,759709
738.08,770899
737.58,769202
737.08,769866
736.58,772175
736.08,777494
735.58,781785
735.08,791191
734.58,790456
734.08,794836
733.58,805111
733.08,799701
732.58,805365
732.08,801257
731.58,801820
731.08,803686
730.58,805204
730.08,802643
729.58,803996
729.08,809968
728.58,823126
728.08,823967
727.58,836696
727.08,854363
726.58,862885
726.08,873737
725.58,892562
725.08,899839
724.58,903038
724.08,890640
723.58,872589
723.08,832347
722.58,803708
722.08,783013
721.58,769326
721.08,766670
720.58,769220
720.08,775000
719.58,757883
719.08,726892
718.58,689818
718.08,664563
717.58,644414
717.08,632447
716.58,628214
716.08,635113
715.58,640039
715.08,660718
714.58,675196
714.08,702402
713.58,742302
713.08,775113
712.58,820815
712.08,862446
711.58,888198
711.08,895151
710.58,875459
710.08,798204
709.58,697806
709.08,599898
708.58,532720
708.08,512942
707.58,514659
707.08,503955
706.58,449059
706.08,344733
705.58,252252
705.08,202265
704.58,183826
704.08,177871
703.58,172196
703.08,167093
702.58,164615
702.08,164098
701.58,162801
701.08,162387
700.58,159068
700.08,158390
699.58,157258
699.08,155142
698.58,153620
698.08,154908
697.58,157919
697.08,156358
696.58,158095
696.08,157245
695.58,155005
695.08,154243
694.58,153854
694.08,155111
693.58,154730
693.08,155380
692.58,155347
692.08,155817
691.58,155897
691.08,156261
690.58,157734
690.08,158619
689.58,157464
689.08,154762
688.58,159197
688.08,156988
687.58,156485
687.08,159149
686.58,160129
686.08,158746
685.58,157197
685.08,157934
684.58,159359
684.08,156687
683.58,156408
683.08,157816
682.58,160318
682.08,159655
681.58,158585
681.08,158011
680.58,159578
680.08,160435
679.58,159672
679.08,160919
678.58,158849
678.08,159283
677.58,160643
677.08,159864
676.58,160813
676.08,162565
675.58,162048
675.08,161632
674.58,162422
674.08,160609
673.58,161149
673.08,160648
672.58,164111
672.08,164608
671.58,163098
671.08,163893
670.58,163843
670.08,161735
669.58,165914
669.08,162989
668.58,166535
668.08,165538
667.58,166662
