,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
133,100.0,100.0,535818,0,0,-1,1,0,3,-1.0,0.0,0,Simon,0.0,113,False,,2024-09-29T22:30:06.392264Z,54,535818.jpg,2.8,Adingra,0.4,False,,a,5,36,14,101552,361,124561,2281,0.0,2.6,Adingra,54.0,134,1,1,0,1,0,0,0,0,0,0,0,45,58.4,32.5,49.0,14.0,1,0.32,0.65,0.97,1.31,255,114,247,149,171,104,251,123,,,,,,,0.21,0.0,0.44,0.65,0.88,0.67,146,87,646,290,142,58,269,85,0.67,0.0
134,0.0,0.0,475480,0,0,0,0,0,3,0.0,0.0,0,Benicio,0.0,114,False,Loaned to Port Vale,2024-08-10T12:17:28.055765Z,45,475480.jpg,0.0,Baker-Boaitey,0.0,False,,u,5,36,0,0,0,462,9,0.0,0.0,Baker-Boaitey,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,572,239,571,245,544,231,575,242,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,412,247,528,207,578,245,659,298,0.0,0.0
135,100.0,100.0,535301,0,0,0,0,1,3,1.7,2.7,3,Carlos,2.7,115,False,,2024-10-16T12:30:06.756764Z,50,535301.jpg,3.4,Baleba,0.3,False,,a,5,36,27,42088,3115,17460,2206,0.5,5.4,Baleba,38.0,570,1,1,3,8,0,0,0,1,0,0,2,135,145.4,96.2,76.0,31.8,7,0.83,0.18,1.01,11.29,108,36,116,86,117,75,114,66,,,,,,,0.13,0.0,0.03,0.16,1.78,1.26,241,157,116,48,86,34,307,100,1.11,0.47
136,0.0,0.0,543158,0,0,0,0,0,2,0.0,0.0,0,Valentín,0.0,116,False,Loaned to Sevilla,2024-08-23T23:00:06.122778Z,40,543158.jpg,0.0,Barco,4.6,False,,u,5,36,0,34254,0,1744023,14148,0.0,0.0,Barco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,499,180,486,180,444,162,502,180,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,653,204,428,153,505,178,82,30,0.0,0.0
137,0.0,0.0,519324,0,0,0,0,0,3,0.0,0.0,0,Amario,0.0,118,False,Loaned to Blackburn Rovers,2024-08-31T06:29:40.845798Z,45,519324.jpg,0.0,Cozier-Duberry,0.0,False,,u,5,36,0,1560,0,12089,112,0.0,0.0,Cozier-Duberry,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,590,254,590,260,566,247,593,257,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,442,271,550,226,596,260,535,214,0.0,0.0
138,0.0,0.0,168090,0,0,-1,1,0,3,0.0,0.0,0,Mahmoud,0.0,119,False,Transferred to Eintracht Frankfurt,2024-08-31T06:30:37.645175Z,49,168090.jpg,0.0,Dahoud,0.0,False,,u,5,36,0,380,0,2798,18,0.0,0.0,Dahoud,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,628,280,624,282,613,275,629,281,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,260,169,601,259,630,282,618,272,0.0,0.0
139,50.0,,83299,0,0,0,0,0,2,0.6,2.3,0,Lewis,2.3,120,False,Calf injury - 50% chance of playing,2024-10-26T20:00:07.127533Z,45,83299.jpg,2.8,Dunk,6.0,False,,d,5,36,22,628917,1548,498004,54622,0.5,4.9,Dunk,241.0,705,0,0,3,10,0,0,0,2,0,0,0,104,133.2,61.0,18.0,21.2,8,0.25,0.29,0.54,13.39,130,52,176,43,257,71,194,57,,,2.0,,,,0.03,0.0,0.04,0.07,1.71,1.28,358,56,136,41,137,40,70,24,1.02,0.38
140,100.0,100.0,474120,0,0,-1,1,0,3,0.0,1.0,1,Julio,1.0,121,False,,2024-08-12T14:30:04.495991Z,54,474120.jpg,1.0,Enciso,0.1,False,,a,5,36,7,8527,197,10115,387,0.2,1.3,Enciso,168.0,84,0,0,0,1,0,0,0,0,0,0,0,31,23.4,58.9,31.0,11.2,0,0.17,0.16,0.33,0.73,330,153,179,114,220,124,278,138,2.0,,3.0,,,,0.18,0.0,0.17,0.35,0.78,1.07,141,84,261,128,400,200,470,173,0.0,0.0
141,100.0,100.0,204214,0,0,0,0,0,2,-0.3,0.7,0,Pervis,0.7,122,False,,2024-08-15T14:30:05.811816Z,50,204214.jpg,0.5,Estupiñán,0.5,False,,a,5,36,3,79847,2403,52198,4163,0.1,0.6,Estupiñan,62.0,342,0,0,0,8,0,0,0,2,0,0,0,30,78.4,121.3,35.0,23.6,3,0.10,0.43,0.53,8.68,216,82,82,19,209,55,176,52,4.0,,4.0,,,,0.03,0.0,0.11,0.14,2.28,2.11,205,23,294,95,437,144,252,92,0.79,0.0
142,100.0,100.0,487117,0,0,0,0,0,4,1.7,2.7,7,Evan,2.7,123,False,,2024-08-15T14:30:05.827079Z,55,487117.jpg,2.2,Ferguson,0.4,False,,a,5,36,11,44900,2969,26949,2157,0.5,2.0,Ferguson,104.0,98,1,0,0,2,0,0,0,0,0,0,2,39,40.4,2.2,23.0,6.5,1,0.19,0.00,0.19,1.87,300,30,375,42,238,39,327,36,,,,,,,0.17,0.0,0.0,0.17,1.72,1.84,125,35,127,22,204,30,287,47,0.92,0.0
