,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
375,0.0,0.0,116535,0,0,-1,1,1,1,0.0,0.0,0,Alisson,3.3,310,False,Hamstring injury - Unknown return date,2024-10-05T14:00:07.200306Z,54,116535.jpg,5.8,Ramses Becker,6.1,False,,i,12,14,35,541805,277,1123893,37594,0.6,6.5,A.Becker,30.0,528,0,0,4,2,0,0,0,0,0,15,5,131,126.8,0.0,0.0,12.6,6,0.00,0.00,0.00,3.74,138,20,653,71,650,70,267,20,,,,,,,0.0,2.56,0.0,0.0,0.64,0.34,129,3,82,9,12,1,68,13,1.02,0.68
376,,,169187,-1,1,0,0,1,2,4.7,3.7,1,Trent,3.7,311,True,,,70,169187.jpg,4.9,Alexander-Arnold,29.8,False,,a,12,14,44,1345619,44530,1381949,60144,0.5,6.3,Alexander-Arnold,241.0,752,0,1,5,5,0,0,0,2,0,0,6,169,153.8,265.2,48.0,46.6,9,0.38,2.82,3.20,6.20,93,32,15,3,173,37,46,7,1.0,,1.0,,,,0.05,0.0,0.34,0.39,0.74,0.6,25,1,70,19,20,2,7,2,1.08,0.6
377,0.0,0.0,535928,0,0,0,0,0,3,0.0,0.0,0,Stefan,0.0,312,False,Loaned to RB Salzburg,2024-08-31T06:19:45.092198Z,45,535928.jpg,0.0,Bajčetić Maquieira,0.0,False,,u,12,14,0,2712,0,15836,169,0.0,0.0,Bajcetic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,597,260,597,266,573,253,600,263,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,450,277,558,232,603,266,510,197,0.0,0.0
378,75.0,50.0,492777,0,0,-3,3,0,2,0.8,0.0,0,Conor,0.0,313,False,Knock - 75% chance of playing,2024-10-20T21:30:07.027689Z,47,492777.jpg,1.0,Bradley,0.3,False,,d,12,14,4,9266,29,48153,1668,0.0,0.9,Bradley,242.0,75,0,0,0,1,0,0,0,0,0,0,0,11,17.8,6.5,52.0,7.6,0,0.24,0.15,0.39,0.87,346,125,348,113,165,33,313,101,,,,,,,0.29,0.0,0.18,0.47,1.04,1.2,342,45,582,211,367,126,319,115,0.0,0.0
379,0.0,0.0,491970,0,0,0,0,0,3,0.0,0.0,0,Bobby,0.0,315,False,Transferred to RB Salzburg,2024-08-22T11:22:35.466323Z,45,491970.jpg,0.0,Clark,0.0,False,,u,12,14,0,444,0,4778,49,0.0,0.0,Clark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,581,245,581,251,556,237,584,248,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,426,255,538,214,587,251,602,260,0.0,0.0
380,,,447203,0,0,-4,4,0,4,2.7,1.7,4,Darwin,1.7,316,False,,,71,447203.jpg,2.3,Núñez Ribeiro,2.2,False,,a,12,14,14,136438,10241,495439,5258,0.2,2.0,Darwin,230.0,283,1,1,1,4,0,0,0,2,0,0,0,63,75.0,33.0,58.0,16.7,2,0.46,0.14,0.60,3.26,223,23,244,27,151,30,227,27,,,,,3.0,,0.15,0.0,0.04,0.19,1.04,1.27,24,10,203,29,188,28,134,25,0.64,0.32
381,0.0,0.0,194634,-1,1,-2,2,0,3,0.0,0.0,0,Diogo,3.0,317,False,Rib Injury - Expected back 24 Nov,2024-10-20T21:30:07.041173Z,73,194634.jpg,5.0,Teixeira da Silva,5.0,False,,i,12,14,35,1021905,278,2171505,104380,0.4,4.8,Diogo J.,173.0,492,2,3,4,1,0,0,0,1,0,0,1,85,105.0,55.1,157.0,31.6,7,2.72,0.32,3.04,3.14,174,67,189,121,50,29,115,67,,,,,,,0.5,0.0,0.06,0.56,0.57,0.18,20,13,106,43,17,9,76,24,1.28,0.73
382,0.0,0.0,496208,0,0,0,0,0,3,0.0,0.0,0,Ben,0.0,318,False,Loaned to Middlesbrough,2024-08-31T06:17:31.171503Z,45,496208.jpg,0.0,Doak,0.0,False,,u,12,14,0,1136,0,5012,50,0.0,0.0,Doak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,584,248,584,254,559,240,587,251,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,429,258,541,217,590,254,587,249,0.0,0.0
383,0.0,0.0,444884,0,0,-3,3,0,3,0.0,0.0,0,Harvey,0.0,319,False,Foot injury - Expected back 24 Nov,2024-09-08T23:00:06.842081Z,52,444884.jpg,1.0,Elliott,0.2,False,,i,12,14,1,11100,17,105228,620,0.0,0.2,Elliott,241.0,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2.0,2.0,0.4,0,0.00,0.02,0.02,0.00,652,296,376,202,365,201,427,210,,,,,,,0.0,0.0,0.26,0.26,0.0,0.0,175,108,635,285,395,197,342,122,0.0,0.0
384,,,158983,-1,1,-3,3,0,3,1.7,0.7,1,Endo,0.7,320,False,,,47,158983.jpg,1.0,Wataru,0.1,False,,a,12,14,3,13359,450,23114,572,0.1,0.6,Endo,108.0,3,0,0,0,0,0,0,0,0,0,0,0,10,2.4,11.1,0.0,1.3,0,0.00,0.01,0.01,0.00,423,207,322,186,592,266,407,199,,,,,,,0.0,0.0,0.3,0.3,0.0,0.0,334,221,284,138,365,177,404,144,0.0,0.0
