,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
406,,,211975,0,0,0,0,0,2,3.7,4.2,6,Manuel,2.7,340,False,,,55,211975.jpg,2.8,Akanji,4.8,False,,a,13,43,22,324389,11610,342475,9219,0.5,4.0,Akanji,207.0,691,0,0,2,7,0,0,0,1,0,0,0,123,144.6,156.9,25.0,32.7,8,0.13,0.81,0.94,7.16,110,42,50,7,235,63,107,24,,,,,,,0.02,0.0,0.11,0.13,0.93,0.91,115,11,126,39,143,42,78,26,1.04,0.26
407,100.0,100.0,126184,0,0,-2,2,0,2,1.0,1.5,0,Nathan,0.0,341,False,,2024-09-11T12:30:07.044166Z,53,126184.jpg,1.0,Aké,0.9,False,,a,13,43,1,22923,2237,207996,1441,0.0,0.2,Aké,152.0,2,0,0,0,0,0,0,0,0,0,0,0,4,3.4,0.5,0.0,0.4,0,0.00,0.00,0.00,0.09,412,144,399,141,649,220,428,146,,,,,,,0.0,0.0,0.0,0.0,4.05,0.0,151,18,638,217,396,131,210,77,0.0,0.0
408,,,165809,0,0,0,0,0,3,4.7,5.2,3,Bernardo,3.7,342,False,,,65,165809.jpg,3.3,Veiga de Carvalho e Silva,5.3,False,,a,13,43,30,671740,17367,645680,26470,0.6,4.6,Bernardo,173.0,726,0,3,2,8,0,0,0,2,0,0,4,151,138.4,301.0,250.0,68.9,8,1.23,1.72,2.95,8.07,122,43,8,7,22,13,13,9,,,,,,,0.15,0.0,0.21,0.36,1.0,0.99,43,25,69,28,97,38,74,23,0.99,0.25
409,0.0,0.0,477555,0,0,-3,3,0,3,0.0,0.0,0,Oscar,0.0,343,False,Leg injury - Expected back 14 Dec,2024-08-14T22:30:05.558994Z,47,477555.jpg,0.0,Bobb,0.1,False,,i,13,43,0,2095,91,27607,199,0.0,0.0,Bobb,161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,617,274,616,278,595,267,618,275,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,340,224,581,249,621,278,486,182,0.0,0.0
410,,,17601,0,0,0,0,0,1,1.0,1.5,0,Scott,0.0,344,False,,,40,17601.jpg,0.0,Carson,0.2,False,,a,13,43,0,10723,277,10250,478,0.0,0.0,Carson,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,441,30,425,10,376,2,444,30,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,575,40,362,26,447,30,356,51,0.0,0.0
411,0.0,0.0,61366,0,0,-1,1,1,3,0.0,0.0,0,Kevin,0.0,345,False,Groin Injury - Unknown return date,2024-09-18T23:00:07.299083Z,94,61366.jpg,4.5,De Bruyne,3.8,False,,i,13,43,18,640741,244,1187943,15180,0.0,1.9,De Bruyne,21.0,356,1,1,1,3,0,0,0,1,0,0,2,89,98.8,246.8,82.0,42.7,4,1.21,2.17,3.38,2.90,187,74,19,16,109,71,59,37,1.0,,1.0,,4.0,,0.31,0.0,0.55,0.86,0.73,0.76,6,5,665,302,35,16,94,27,1.01,0.25
412,0.0,0.0,248875,0,0,-2,2,0,3,0.0,0.0,0,Jérémy,3.7,346,False,Knock - Unknown return date,2024-10-24T16:00:07.501609Z,63,248875.jpg,3.0,Doku,1.8,False,,i,13,43,21,329765,139,527130,31153,0.6,3.3,Doku,21.0,398,1,1,1,6,0,0,0,0,0,0,0,114,105.6,141.1,118.0,36.5,5,0.40,1.04,1.44,4.02,173,66,60,49,76,45,83,53,,,,,,,0.09,0.0,0.24,0.33,0.91,1.36,62,39,67,26,129,51,146,45,1.13,0.23
413,,,121160,0,0,0,0,0,1,3.7,4.2,6,Ederson,2.7,347,False,,,55,121160.jpg,3.2,Santana de Moraes,9.1,False,,a,13,43,29,500315,21844,412798,11540,0.5,5.3,Ederson M.,30.0,810,0,1,2,9,0,0,0,3,0,19,2,104,179.2,10.0,0.0,18.9,9,0.00,0.01,0.01,8.99,66,16,336,5,656,71,213,16,,,,,,,0.0,2.11,0.0,0.0,1.0,1.0,109,2,124,12,106,15,48,9,1.0,0.22
414,100.0,100.0,209244,1,-1,-2,2,0,3,4.0,4.5,3,Phil,3.0,348,False,,2024-08-30T13:30:05.725653Z,93,209244.jpg,2.0,Foden,8.2,False,,a,13,43,12,641457,20837,1550990,44444,0.3,1.3,Foden,241.0,280,0,1,1,1,0,0,0,0,0,0,0,65,56.0,191.0,66.0,31.4,2,0.44,1.80,2.24,3.58,264,117,32,27,135,87,116,68,3.0,,,,,,0.14,0.0,0.58,0.72,1.15,0.32,7,6,108,44,230,100,53,15,0.64,0.32
415,50.0,0.0,114283,0,0,-1,1,0,3,1.0,0.0,0,Jack,1.0,349,False,Knock - 50% chance of playing,2024-10-24T16:00:07.517717Z,64,114283.jpg,2.1,Grealish,0.3,False,,d,13,43,15,33113,128,32927,3896,0.2,2.3,Grealish,241.0,343,0,1,0,4,0,0,0,2,0,0,3,90,77.2,194.1,126.0,39.8,4,0.54,1.04,1.58,4.80,219,93,31,26,71,41,68,44,6.0,,,,,,0.14,0.0,0.27,0.41,1.26,1.05,51,31,268,132,211,91,320,107,1.05,0.0
416,,,477424,1,-1,2,-2,2,2,7.7,8.2,9,Joško,6.7,350,True,,,62,477424.jpg,4.7,Gvardiol,30.2,False,,a,13,43,42,1696809,197549,1792990,14318,1.1,6.8,Gvardiol,97.0,762,2,0,2,8,0,0,0,0,0,0,7,176,244.8,171.4,165.0,58.2,8,0.46,1.16,1.62,7.98,20,4,43,5,45,2,29,2,,,,,,,0.05,0.0,0.14,0.19,0.94,0.94,71,4,11,2,25,3,6,1,0.94,0.24
417,100.0,100.0,223094,0,0,4,-4,3,4,4.3,4.8,6,Erling,3.3,351,True,,2024-09-13T15:00:06.985607Z,154,223094.jpg,8.3,Haaland,73.2,False,,a,13,43,75,2667088,21669,601229,75364,0.2,4.9,Haaland,161.0,809,11,0,2,9,0,0,0,1,0,0,14,349,413.0,68.1,584.0,106.6,9,8.72,0.39,9.11,8.99,1,1,153,17,1,1,3,1,,,3.0,,1.0,,0.97,0.0,0.04,1.01,1.0,1.0,1,1,90,19,3,1,1,1,1.0,0.22
418,0.0,0.0,461358,0,0,0,0,0,4,0.0,0.0,0,Julián,0.0,352,False,Transferred to Atletico Madrid,2024-08-13T07:07:51.627006Z,70,461358.jpg,0.0,Álvarez,0.1,False,,u,13,43,0,0,0,28595,69,0.0,0.0,J.Alvarez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,669,73,669,73,669,73,669,73,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27,11,662,73,668,73,446,61,0.0,0.0
419,0.0,0.0,121145,0,0,-2,2,0,2,0.0,0.0,0,João,0.0,353,False,Permanent transfer to Saudi club Al-Hilal,2024-08-29T11:05:25.670531Z,53,121145.jpg,0.0,Cavaco Cancelo,0.2,False,,u,13,43,0,4654,0,75807,281,0.0,0.0,João Cancelo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,654,220,652,220,648,219,654,220,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,150,17,637,216,653,219,343,119,0.0,0.0
420,100.0,100.0,91651,0,0,1,-1,2,3,7.3,7.8,2,Mateo,6.3,354,False,,2024-08-24T19:30:05.896156Z,56,91651.jpg,4.4,Kovačić,4.2,False,,a,13,43,40,599141,38497,287643,24635,1.1,7.1,Kovačić,97.0,698,3,1,2,9,0,0,0,3,0,0,7,187,212.6,176.2,73.0,46.2,8,0.89,0.94,1.82,8.95,41,11,40,35,122,78,48,32,,,,,,,0.11,0.0,0.12,0.23,1.15,1.16,103,63,17,7,37,18,87,25,1.03,0.26
421,,,477064,0,0,3,-3,0,2,5.0,5.5,6,Rico,4.0,355,False,,,48,477064.jpg,3.6,Lewis,15.6,False,,a,13,43,29,2081375,70395,611979,15669,0.8,6.0,Lewis,241.0,665,0,2,2,7,0,0,0,0,0,0,1,112,122.0,91.1,71.0,28.4,8,0.72,0.41,1.13,8.30,145,57,119,24,127,20,138,34,,,,,,,0.1,0.0,0.06,0.16,1.12,0.95,325,39,52,16,71,14,22,7,1.08,0.27
422,,,465351,0,0,-1,1,0,3,3.7,4.2,6,Matheus Luiz,2.7,356,False,,,49,465351.jpg,2.3,Nunes,0.2,False,,a,13,43,14,19893,6503,10434,682,0.6,2.9,Matheus N.,173.0,110,0,2,1,0,0,0,0,0,0,0,0,57,50.0,56.9,32.0,14.0,1,0.10,0.73,0.83,0.39,279,128,184,118,217,121,250,122,5.0,,,,,,0.08,0.0,0.6,0.68,0.32,0.0,280,186,113,46,185,80,395,141,0.82,0.82
423,,,432714,0,0,-3,3,0,3,1.0,1.5,0,James,0.0,357,False,,,47,432714.jpg,1.0,McAtee,0.0,False,,a,13,43,1,2939,141,7995,183,0.0,0.2,McAtee,241.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.0,2.0,0.3,0,0.00,0.02,0.02,0.00,434,214,387,207,361,198,433,215,,,,,,,0.0,0.0,1.8,1.8,0.0,0.0,339,223,580,248,366,178,526,209,0.0,0.0
424,,,88248,0,0,-2,2,0,1,1.0,1.5,0,Stefan,0.0,358,False,,,53,88248.jpg,0.0,Ortega Moreno,0.5,False,,a,13,43,0,3445,254,41019,818,0.0,0.0,Ortega Moreno,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,653,72,651,70,647,69,653,72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,148,4,636,72,652,72,254,38,0.0,0.0
425,0.0,0.0,220566,0,0,-2,2,0,3,0.0,0.0,0,Rodrigo 'Rodri',0.0,360,False,Knee injury - Expected back 01 Jun,2024-09-22T22:00:05.633631Z,63,220566.jpg,1.0,Hernandez,0.9,False,,i,13,43,2,38470,106,405595,1795,0.0,0.3,Rodrigo,200.0,65,0,0,0,0,0,0,0,0,0,0,0,18,10.8,17.1,0.0,2.8,1,0.00,0.09,0.09,0.04,371,178,293,172,664,301,373,184,,,,,,,0.0,0.0,0.12,0.12,0.06,0.0,59,37,655,296,408,207,206,67,1.38,0.0
426,,,171314,0,0,0,0,0,2,4.3,4.8,7,Rúben,3.3,361,False,,,55,171314.jpg,2.1,Gato Alves Dias,4.1,False,,a,13,43,19,250879,16850,295090,6359,0.6,3.5,Rúben,173.0,726,0,0,2,8,1,0,0,3,0,0,1,99,147.0,100.9,62.0,31.1,8,0.62,0.68,1.30,8.07,105,39,112,23,144,27,118,28,,,,,,,0.08,0.0,0.08,0.16,1.0,0.99,112,10,84,27,210,67,90,36,0.99,0.25
