,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
465,,,545477,0,0,0,0,0,2,-1.0,-0.5,0,Alex,0.0,390,False,,,40,545477.jpg,0.0,Murphy,0.9,False,,a,15,4,0,59688,1526,57542,2195,0.0,0.0,A.Murphy,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,500,181,487,181,445,163,503,181,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,654,205,429,154,506,179,209,76,0.0,0.0
466,,,179018,0,0,-4,4,0,3,0.3,0.8,2,Miguel,1.3,391,False,,,56,179018.jpg,1.2,Almirón Rejala,0.4,False,,a,15,4,6,29584,1014,90722,1355,0.2,1.1,Almirón,168.0,102,0,0,0,2,0,0,0,0,0,0,0,18,3.8,17.8,32.0,5.3,1,0.36,0.14,0.50,2.07,410,199,288,169,219,123,336,168,,,,,,,0.32,0.0,0.12,0.44,1.83,1.76,105,64,228,115,321,158,272,88,0.88,0.0
467,,,201666,0,0,0,0,0,3,1.0,1.5,2,Harvey,2.0,392,False,,,65,201666.jpg,4.6,Barnes,3.3,False,,a,15,4,41,572685,8119,317033,34511,0.3,6.3,Barnes,241.0,476,3,1,1,7,0,0,0,0,0,0,8,134,156.6,115.7,156.0,42.9,5,1.46,0.93,2.39,7.76,86,30,91,68,52,30,58,36,,,,,,,0.28,0.0,0.18,0.46,1.47,1.32,44,26,186,89,29,13,101,30,0.95,0.19
468,0.0,0.0,220237,0,0,-1,1,0,2,0.0,0.0,0,Sven,0.0,393,False,Knee injury - Expected back 28 Dec,2024-07-17T13:30:05.022057Z,44,220237.jpg,0.0,Botman,0.0,False,,i,15,4,0,679,26,1540,33,0.0,0.0,Botman,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,530,204,524,203,491,193,533,204,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,504,107,481,193,536,202,614,207,0.0,0.0
469,,,208706,0,0,-3,3,0,3,1.3,1.8,2,Bruno,2.3,394,False,,,62,208706.jpg,2.6,Guimarães Rodriguez Moura,1.8,False,,a,15,4,23,61444,1924,231315,5979,0.4,3.7,Bruno G.,30.0,800,0,1,2,10,0,0,0,2,0,0,2,137,152.6,131.6,40.0,32.6,9,0.53,0.96,1.49,12.54,95,31,67,53,197,113,109,65,,,,,,,0.06,0.0,0.11,0.17,1.41,1.12,66,43,155,69,161,69,150,47,1.01,0.23
470,,,78916,0,0,-1,1,0,2,2.3,2.8,1,Dan,3.3,395,False,,,44,78916.jpg,2.2,Burn,9.2,False,,a,15,4,20,335238,5166,963689,28476,0.7,4.5,Burn,241.0,810,0,0,2,10,1,0,0,4,0,0,2,83,152.0,15.5,77.0,24.5,9,0.47,0.19,0.66,12.88,97,35,304,96,116,16,168,46,,,,,,,0.05,0.0,0.02,0.07,1.43,1.11,479,91,73,22,192,60,47,18,1.0,0.22
471,75.0,75.0,67089,0,0,-2,2,0,1,-0.8,-0.4,0,Martin,0.0,396,False,Knee injury - 75% chance of playing,2024-10-02T00:30:05.687323Z,43,67089.jpg,0.0,Dúbravka,0.6,False,,d,15,4,0,10792,33,79005,1418,0.0,0.0,Dúbravka,194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,512,61,499,44,460,36,515,61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,539,35,445,58,517,61,246,36,0.0,0.0
472,75.0,,232826,-1,1,-3,3,0,3,0.0,0.5,0,Anthony,1.0,398,False,Groin Injury - 75% chance of playing,2024-10-27T22:00:06.585944Z,72,232826.jpg,3.9,Gordon,8.9,False,,d,15,4,31,418384,6779,1979347,84869,0.1,4.3,Gordon,241.0,683,2,0,2,7,0,0,1,0,0,0,5,128,146.0,271.7,204.0,62.2,8,3.47,1.38,4.85,10.04,107,35,14,12,30,18,22,16,3.0,,,,3.0,,0.46,0.0,0.18,0.64,1.32,0.92,22,14,270,134,54,22,49,12,1.05,0.26
473,,,487838,0,0,-2,2,0,2,2.3,2.8,4,Lewis,3.3,399,False,,,43,487838.jpg,2.4,Hall,2.1,False,,a,15,4,22,143840,11090,394969,4976,0.8,5.1,Hall,241.0,605,0,1,2,6,0,0,0,3,0,0,0,117,169.6,197.8,16.0,38.6,6,0.00,1.29,1.29,8.35,69,21,29,4,264,76,69,10,2.0,,,,,,0.0,0.0,0.19,0.19,1.24,0.89,563,147,71,20,166,46,137,50,0.89,0.3
474,,,153127,0,0,0,0,0,3,-1.0,-0.5,0,Isaac,0.0,400,False,,,45,153127.jpg,0.0,Hayden,0.1,False,,a,15,4,0,5968,241,6601,256,0.0,0.0,Hayden,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,550,224,549,230,520,216,553,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,367,230,505,192,556,230,460,168,0.0,0.0
