,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
498,,,106468,0,0,-1,1,0,2,3.0,3.0,1,Álex,3.0,26,False,,,44,106468.jpg,2.8,Moreno Lopera,0.6,False,,a,16,17,17,45457,2399,55524,1542,0.7,3.9,Alex Moreno,200.0,436,0,0,2,5,0,0,0,2,0,0,1,63,74.0,51.1,12.0,13.7,6,0.11,0.22,0.33,5.39,224,83,196,50,281,87,257,84,,,,,,,0.02,0.0,0.05,0.07,1.11,1.03,484,93,93,30,135,38,237,87,1.24,0.41
499,100.0,100.0,159506,0,0,0,0,2,2,3.3,3.3,2,Ola,3.3,422,False,,2024-08-17T20:30:06.361551Z,45,159506.jpg,3.6,Aina,7.1,False,,a,16,17,32,934301,43511,342137,13749,0.7,7.1,Aina,157.0,773,0,0,3,6,0,0,0,1,0,0,5,145,146.0,80.8,10.0,23.7,9,0.04,0.69,0.73,8.79,106,40,130,27,294,93,175,51,,,,,,,0.0,0.0,0.08,0.08,1.02,0.7,369,59,76,25,69,12,57,21,1.05,0.35
500,,,215379,0,0,0,0,0,3,3.0,3.0,5,Elliot,3.0,423,False,,,50,215379.jpg,2.7,Anderson,0.2,False,,a,16,17,24,21920,4121,16389,659,0.6,4.8,Anderson,241.0,569,0,2,3,7,0,0,0,2,0,0,2,134,140.8,162.0,124.0,42.6,8,0.71,0.69,1.40,7.04,117,40,47,40,72,42,60,38,3.0,,,,,,0.11,0.0,0.11,0.22,1.11,1.11,210,132,99,36,151,63,338,120,1.27,0.47
501,,,210156,-1,1,-4,4,0,4,0.7,0.7,1,Taiwo,0.7,424,False,,,56,210156.jpg,1.0,Awoniyi,0.3,False,,a,16,17,6,22398,711,84234,1585,0.1,1.1,Awoniyi,157.0,94,0,0,0,1,0,0,0,0,0,0,0,16,7.8,5.4,41.0,5.0,1,0.34,0.07,0.41,1.09,389,36,352,39,193,36,341,37,,,,,,,0.33,0.0,0.07,0.4,1.04,0.96,106,32,307,35,403,41,296,48,0.96,0.0
502,100.0,100.0,90585,0,0,-2,2,0,2,0.0,0.0,0,Willy,0.0,425,False,,2024-09-11T12:30:07.170970Z,43,90585.jpg,1.5,Boly,0.1,False,,a,16,17,3,5793,126,19297,353,0.0,0.7,Boly,54.0,91,0,0,0,1,0,0,0,0,0,0,0,13,32.0,0.2,17.0,4.9,1,0.07,0.00,0.07,1.22,316,112,409,145,260,73,342,110,,,,,,,0.07,0.0,0.0,0.07,1.21,0.99,542,128,448,169,278,88,413,149,0.99,0.0
503,0.0,0.0,245830,0,0,0,0,0,3,0.0,0.0,0,Josh,0.0,426,False,Loaned to  Preston North End,2024-08-31T08:19:22.292913Z,45,245830.jpg,0.0,Bowler,0.0,False,,u,16,17,0,1220,0,5528,82,0.0,0.0,Bowler,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,558,227,557,233,529,219,561,230,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,390,234,514,195,564,233,570,237,0.0,0.0
504,,,475123,0,0,-2,2,0,1,0.0,0.0,0,Carlos Miguel,0.0,427,False,,,43,475123.jpg,0.0,dos Santos Pereira,0.2,False,,a,16,17,0,6628,186,24357,467,0.0,0.0,C.Miguel,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,521,62,509,46,474,39,524,62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,562,38,461,60,527,62,367,54,0.0,0.0
505,,,569014,0,0,0,0,0,3,0.0,0.0,0,Eric,0.0,428,False,,,45,569014.jpg,0.0,da Silva Moreira,0.1,False,,a,16,17,0,5215,213,6363,286,0.0,0.0,Da Silva Moreira,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,604,265,604,271,580,258,607,268,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,458,283,566,238,610,271,480,179,0.0,0.0
506,0.0,0.0,513046,-1,1,-3,3,0,3,0.0,0.0,0,Danilo,0.0,429,False,Ankle injury - Unknown return date,2024-08-17T20:00:06.172553Z,47,513046.jpg,1.0,dos Santos de Oliveira,0.0,False,,i,16,17,1,460,11,5077,31,0.0,0.2,Danilo,30.0,14,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,1,0.00,0.00,0.00,0.28,618,275,416,218,597,268,619,276,,,,,,,0.0,0.0,0.0,0.0,1.8,0.0,344,225,584,250,368,179,608,266,6.43,0.0
507,,,230251,0,0,-1,1,0,4,0.0,0.0,0,Emmanuel,0.0,430,False,,,49,230251.jpg,0.0,Dennis,0.3,False,,a,16,17,0,33412,1037,32812,1880,0.0,0.0,Dennis,157.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,631,59,627,58,618,59,632,59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,273,57,605,57,633,60,309,52,0.0,0.0
