,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
631,75.0,75.0,101982,0,0,-1,1,0,1,0.5,0.5,0,Sam,0.7,204,False,Groin Injury - 75% chance of playing,2024-10-20T21:30:06.848774Z,44,101982.jpg,2.0,Johnstone,0.4,False,,d,20,39,10,36577,167,41643,2107,0.2,2.3,Johnstone,241.0,450,0,0,0,13,0,0,0,0,0,19,0,31,155.8,10.0,0.0,16.6,5,0.00,0.00,0.00,10.77,87,18,333,3,482,45,228,17,,,,,,,0.0,3.8,0.0,0.0,2.15,2.6,482,23,276,23,215,25,264,40,1.0,0.0
632,100.0,100.0,448514,1,-1,1,-1,1,2,5.3,5.3,6,Rayan,5.3,533,False,,2024-09-08T23:00:07.055579Z,46,448514.jpg,3.2,Aït-Nouri,6.8,False,,a,20,39,29,642286,208014,177539,5325,1.2,6.3,Aït-Nouri,3.0,744,3,2,0,24,0,0,0,4,0,0,2,61,239.6,145.7,127.0,51.3,9,1.05,0.50,1.55,15.12,25,6,58,10,68,7,39,3,,,,,,,0.13,0.0,0.06,0.19,1.83,2.9,351,50,25,6,101,29,60,22,1.09,0.0
633,0.0,0.0,476502,0,0,-2,2,0,3,0.0,0.0,0,Boubacar,0.0,534,False,Knee injury - Unknown return date,2024-08-30T04:00:05.724805Z,48,476502.jpg,0.0,Traoré,0.0,False,,i,20,39,0,1261,12,5837,71,0.0,0.0,B.Traore,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,622,277,620,280,605,271,623,278,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,324,215,594,256,626,280,573,240,0.0,0.0
634,,,231057,0,0,0,0,0,3,1.7,1.7,0,Jean-Ricner,1.7,535,False,,,50,231057.jpg,2.6,Bellegarde,0.1,False,,a,20,39,21,9763,185,7759,577,0.3,4.2,Bellegarde,73.0,403,1,1,2,10,0,0,0,1,0,0,0,62,76.4,70.3,49.0,19.3,6,0.25,0.28,0.53,7.06,220,94,148,99,170,103,212,108,,,1.0,,,,0.06,0.0,0.06,0.12,1.58,2.23,216,138,196,96,157,67,468,172,1.34,0.45
635,,,79602,0,0,0,0,0,1,0.0,0.0,0,Daniel,0.0,536,False,,,40,79602.jpg,0.0,Bentley,1.7,False,,a,20,39,0,46605,964,84567,1946,0.0,0.0,Bentley,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,445,34,430,15,381,7,448,34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,581,45,366,30,451,34,154,21,0.0,0.0
636,0.0,0.0,510363,0,0,0,0,0,3,0.0,0.0,0,Francisco Jorge,0.0,537,False,Season long loan to RCD Mallorca,2024-09-01T09:12:21.111329Z,45,510363.jpg,1.0,Tomás Oliveira,0.1,False,,u,20,39,1,11572,0,23868,315,0.0,0.2,Chiquinho,,6,0,0,0,0,0,0,0,0,0,0,0,4,3.0,14.3,2.0,1.9,0,0.00,0.05,0.05,0.00,418,204,308,179,357,196,392,194,,,,,,,0.0,0.0,0.75,0.75,0.0,0.0,438,267,547,223,356,169,436,157,0.0,0.0
637,0.0,0.0,497606,0,0,0,0,0,3,0.0,0.0,0,Tawanda,0.0,538,False,Loaened to Derby County,2024-08-27T08:37:28.318365Z,45,497606.jpg,0.0,Chirewa,0.0,False,,u,20,39,0,1909,0,7608,106,0.0,0.0,Chirewa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,585,249,585,255,560,241,588,252,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,430,259,542,218,591,255,544,219,0.0,0.0
638,100.0,100.0,589507,0,0,0,0,0,4,0.0,0.0,0,Leon,0.0,539,False,,2024-09-10T11:40:34.472554Z,45,589507.jpg,0.0,Chiwome,2.7,False,,a,20,39,0,388022,18356,138030,15691,0.0,0.0,Chiwome,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,612,54,611,54,587,54,614,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,468,74,574,51,617,56,118,20,0.0,0.0
639,,,245923,0,0,0,0,0,3,0.0,0.0,0,Luke,0.0,540,False,,,45,245923.jpg,0.0,Cundle,0.2,False,,a,20,39,0,28984,371,23003,789,0.0,0.0,Cundle,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,559,228,558,234,530,220,562,231,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,391,235,515,196,565,234,335,117,0.0,0.0
640,,,430871,0,0,0,0,0,4,6.7,6.7,9,Matheus,6.7,541,False,,,65,430871.jpg,4.6,Santos Carneiro Da Cunha,3.6,False,,a,20,39,41,398623,96054,270887,9235,1.0,6.3,Cunha,30.0,706,4,0,0,22,0,0,0,1,0,0,9,212,223.2,235.5,263.0,72.2,8,2.19,1.60,3.79,14.57,31,5,20,1,18,9,11,3,2.0,,3.0,,3.0,,0.28,0.0,0.2,0.48,1.86,2.8,47,18,12,4,30,10,96,16,1.02,0.0
